Member Entity ID,Parent Entity ID,Campus ID,Relationship,Source Record ID,Observation ID,Relationship Basis,Registry Version
campus:206fccec778a3932,campus:206fccec778a3932,campus:206fccec778a3932,observation_supports_campus,im3-source:7e68da727e0bb05c,im3:7e68da727e0bb05c,campus identity evidence,9.6.2
building:082597c6b8b09eaa,campus:ceb7ca028a747b13,campus:ceb7ca028a747b13,building_in_campus,osm-way-1422191450,gigawatt:osm-way-1422191450,source-native building observation,9.6.2
campus:ceb7ca028a747b13,campus:ceb7ca028a747b13,campus:ceb7ca028a747b13,observation_supports_campus,im3-source:7b844ecd629cd7b4,im3:7b844ecd629cd7b4,campus identity evidence,9.6.2
campus:ddaaf03282876ef2,campus:ddaaf03282876ef2,campus:ddaaf03282876ef2,observation_supports_campus,im3-source:8b86d3a268366bc0,im3:8b86d3a268366bc0,campus identity evidence,9.6.2
building:e902762f880220bb,campus:81d772beb55a1a2e,campus:81d772beb55a1a2e,building_in_campus,im3-source:31c2801897566e17,im3:31c2801897566e17,source-native building observation,9.6.2
building:aed47e5c3562cfb4,campus:81d772beb55a1a2e,campus:81d772beb55a1a2e,building_in_campus,im3-source:b37008c49d455f9d,im3:b37008c49d455f9d,source-native building observation,9.6.2
building:38ae54e46f8311d3,campus:81d772beb55a1a2e,campus:81d772beb55a1a2e,building_in_campus,im3-source:bad3b0354487d02b,im3:bad3b0354487d02b,source-native building observation,9.6.2
building:671627f6e4fe1133,campus:81d772beb55a1a2e,campus:81d772beb55a1a2e,building_in_campus,im3-source:e3801d3015c15282,im3:e3801d3015c15282,source-native building observation,9.6.2
building:5bd758bc6b742920,campus:81d772beb55a1a2e,campus:81d772beb55a1a2e,building_in_campus,im3-source:e62d54a294974df0,im3:e62d54a294974df0,source-native building observation,9.6.2
building:38656d9ff328573e,campus:81d772beb55a1a2e,campus:81d772beb55a1a2e,building_in_campus,osm-way-1465196735,gigawatt:osm-way-1465196735,source-native building observation,9.6.2
building:9719d319c6bac88f,campus:81d772beb55a1a2e,campus:81d772beb55a1a2e,building_in_campus,osm-way-1465196736,gigawatt:osm-way-1465196736,source-native building observation,9.6.2
campus:81d772beb55a1a2e,campus:81d772beb55a1a2e,campus:81d772beb55a1a2e,observation_supports_campus,im3-source:8c2bbb9e1b080b2c,im3:8c2bbb9e1b080b2c,campus identity evidence,9.6.2
campus:81d772beb55a1a2e,campus:81d772beb55a1a2e,campus:81d772beb55a1a2e,observation_supports_campus,im3-source:daf88cd703fbce5a,im3:daf88cd703fbce5a,campus identity evidence,9.6.2
building:e9db7263bf714525,campus:905bc4a95283343d,campus:905bc4a95283343d,building_in_campus,osm-way-714120969,gigawatt:osm-way-714120969,source-native building observation,9.6.2
campus:905bc4a95283343d,campus:905bc4a95283343d,campus:905bc4a95283343d,observation_supports_campus,im3-source:93a0a3cfd9b2161a,im3:93a0a3cfd9b2161a,campus identity evidence,9.6.2
building:7373d86681bec6b6,campus:4919ae0d066bfd33,campus:4919ae0d066bfd33,building_in_campus,osm-way-1301559332,gigawatt:osm-way-1301559332,source-native building observation,9.6.2
campus:4919ae0d066bfd33,campus:4919ae0d066bfd33,campus:4919ae0d066bfd33,observation_supports_campus,im3-source:981fe263e9118004,im3:981fe263e9118004,campus identity evidence,9.6.2
building:1433a7e3acf8d2af,campus:0b0158b0588a940c,campus:0b0158b0588a940c,building_in_campus,osm-way-1254161871,gigawatt:osm-way-1254161871,source-native building observation,9.6.2
campus:0b0158b0588a940c,campus:0b0158b0588a940c,campus:0b0158b0588a940c,observation_supports_campus,im3-source:9bcba42210b1616f,im3:9bcba42210b1616f,campus identity evidence,9.6.2
campus:e3bcf82ee6fb6f92,campus:e3bcf82ee6fb6f92,campus:e3bcf82ee6fb6f92,observation_supports_campus,im3-source:9cc2944b36863176,im3:9cc2944b36863176,campus identity evidence,9.6.2
campus:e3bcf82ee6fb6f92,campus:e3bcf82ee6fb6f92,campus:e3bcf82ee6fb6f92,observation_supports_campus,414,fractracker:414,campus identity evidence,9.6.2
campus:e3bcf82ee6fb6f92,campus:e3bcf82ee6fb6f92,campus:e3bcf82ee6fb6f92,observation_supports_campus,google-lenoir-nc,gigawatt:google-lenoir-nc,campus identity evidence,9.6.2
campus:b081c27f753e0e8c,campus:b081c27f753e0e8c,campus:b081c27f753e0e8c,observation_supports_campus,im3-source:a1537f19254373e2,im3:a1537f19254373e2,campus identity evidence,9.6.2
building:7c6a717ca1e54a93,campus:a32d4f6da5543903,campus:a32d4f6da5543903,building_in_campus,osm-way-450078003,gigawatt:osm-way-450078003,source-native building observation,9.6.2
campus:a32d4f6da5543903,campus:a32d4f6da5543903,campus:a32d4f6da5543903,observation_supports_campus,im3-source:abf28421cb0ff2c6,im3:abf28421cb0ff2c6,campus identity evidence,9.6.2
campus:a32d4f6da5543903,campus:a32d4f6da5543903,campus:a32d4f6da5543903,observation_supports_campus,952,fractracker:952,campus identity evidence,9.6.2
campus:40acd6d6ce5b37cf,campus:40acd6d6ce5b37cf,campus:40acd6d6ce5b37cf,observation_supports_campus,im3-source:ac91a11ef72e122c,im3:ac91a11ef72e122c,campus identity evidence,9.6.2
campus:f2f8c73691caea80,campus:f2f8c73691caea80,campus:f2f8c73691caea80,observation_supports_campus,im3-source:b11f95a3295d13d9,im3:b11f95a3295d13d9,campus identity evidence,9.6.2
building:b2f6b435502f207c,campus:df412ae31add6539,campus:df412ae31add6539,building_in_campus,osm-way-715098032,gigawatt:osm-way-715098032,source-native building observation,9.6.2
campus:df412ae31add6539,campus:df412ae31add6539,campus:df412ae31add6539,observation_supports_campus,im3-source:b64bc64dadf99bf5,im3:b64bc64dadf99bf5,campus identity evidence,9.6.2
campus:bf6e701ea95f2b68,campus:bf6e701ea95f2b68,campus:bf6e701ea95f2b68,observation_supports_campus,im3-source:b697f1239b2192cb,im3:b697f1239b2192cb,campus identity evidence,9.6.2
building:7472b9897de53a51,campus:1dbc52fe8dbcab0f,campus:1dbc52fe8dbcab0f,building_in_campus,osm-way-1282875386,gigawatt:osm-way-1282875386,source-native building observation,9.6.2
campus:1dbc52fe8dbcab0f,campus:1dbc52fe8dbcab0f,campus:1dbc52fe8dbcab0f,observation_supports_campus,im3-source:bd2cc35d1a10f602,im3:bd2cc35d1a10f602,campus identity evidence,9.6.2
building:b75501d809f4c33d,campus:7c186db68390802a,campus:7c186db68390802a,building_in_campus,osm-way-1092757323,gigawatt:osm-way-1092757323,source-native building observation,9.6.2
campus:7c186db68390802a,campus:7c186db68390802a,campus:7c186db68390802a,observation_supports_campus,im3-source:c5d8ad099231630d,im3:c5d8ad099231630d,campus identity evidence,9.6.2
campus:9d5bfe1a586d2d08,campus:9d5bfe1a586d2d08,campus:9d5bfe1a586d2d08,observation_supports_campus,im3-source:c88993b69a8535ec,im3:c88993b69a8535ec,campus identity evidence,9.6.2
building:4cf85c07096c09c0,campus:121ec8ec20455298,campus:121ec8ec20455298,building_in_campus,osm-way-429040021,gigawatt:osm-way-429040021,source-native building observation,9.6.2
campus:121ec8ec20455298,campus:121ec8ec20455298,campus:121ec8ec20455298,observation_supports_campus,im3-source:e0359372245a707f,im3:e0359372245a707f,campus identity evidence,9.6.2
campus:121ec8ec20455298,campus:121ec8ec20455298,campus:121ec8ec20455298,observation_supports_campus,1158,fractracker:1158,campus identity evidence,9.6.2
campus:2e2ded23b1c3a67b,campus:2e2ded23b1c3a67b,campus:2e2ded23b1c3a67b,observation_supports_campus,im3-source:e0c36ea75141f41f,im3:e0c36ea75141f41f,campus identity evidence,9.6.2
building:4db4ae540f9b7db8,campus:7a3c17800ac83ea6,campus:7a3c17800ac83ea6,building_in_campus,osm-way-819981908,gigawatt:osm-way-819981908,source-native building observation,9.6.2
campus:7a3c17800ac83ea6,campus:7a3c17800ac83ea6,campus:7a3c17800ac83ea6,observation_supports_campus,im3-source:e6b6b9f09c35b6fc,im3:e6b6b9f09c35b6fc,campus identity evidence,9.6.2
