Observation ID,Source Record ID,Source,Source Class,Observation Level,Name,Operator,Owner,Developer,Occupant,Address,City,State,County,ZIP Code,Latitude,Longitude,Location Precision,Purpose,Status,Status Detail,Status Date,Expected Service Date,Square Feet,Facility Count,Building Count,Property Size Acres,Project Cost,Raw Capacity Text,Published Capacity Estimate Low MW,Published Capacity Estimate MW,Published Capacity Estimate High MW,Capacity Estimate Basis,Planned Data Center Capacity MW,Contracted Utility Capacity MW,Energized Capacity MW,Annual Electricity Consumption MWh,Planned Onsite Generation MW,Power Source,Dedicated Power Plant,Generator Count,Utility,Balancing Authority,Watershed,Water Withdrawal Gallons/Year,Water Consumption Gallons/Year,Site WUE L/kWh,Cooling System,Water Source,Water Permit or Utility Record,Reclaimed Water Use,Water Evidence Scope,Water Evidence Grade,Water Evidence Type,Water Evidence Source,Water Evidence URL,Water Evidence Date,Community Response,Evidence Grade,Evidence Type,Inventory Confidence,Source URL,Upstream Source URL,Source Date,Source Updated Date,Notes,Resolution Reason
gigawatt:osm-way-1493516626,osm-way-1493516626,Gigawatt Map retained export,Observed footprint,building,RIC2 DC5,,,,,,,VA,,,37.484848,-77.242984,Published point,,Observed footprint,,,,,,,,,,9.51,12.69,15.86,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-1493516628,osm-way-1493516628,Gigawatt Map retained export,Observed footprint,building,RIC2 DC6,,,,,,,VA,,,37.483901,-77.243764,Published point,,Observed footprint,,,,,,,,,,9.52,12.69,15.86,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-1498005255,osm-way-1498005255,Gigawatt Map retained export,Observed footprint,building,SC,,,,,,,KS,,,37.278406,-98.588462,Published point,,Observed footprint,,,,,,,,,,0.02,0.02,0.03,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-151179323,osm-way-151179323,Gigawatt Map retained export,Observed footprint,building,Lumen,,,,,,,AZ,,,33.494336,-112.070786,Published point,,Observed footprint,,,,,,,,,,0.95,1.27,1.59,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-152163711,osm-way-152163711,Gigawatt Map retained export,Observed footprint,building,L3Harris Technologies Inc,,,,,,,AZ,Maricopa County,,33.305358,-111.671704,Published point,,Observed footprint,,,,,,,,,,0.54,0.72,0.9,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,U.S. jurisdiction reconciled from co-located IM3 geometry.,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-152163722,osm-way-152163722,Gigawatt Map retained export,Observed footprint,building,AZ Labs,,,,,,,AZ,Maricopa County,,33.306272,-111.6717,Published point,,Observed footprint,,,,,,,,,,1.19,1.58,1.98,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,U.S. jurisdiction reconciled from co-located IM3 geometry.,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-152449872,osm-way-152449872,Gigawatt Map retained export,Observed footprint,building,Serverfarm CH1,,,,,,,IL,,,41.870944,-87.640141,Published point,,Observed footprint,,,,,,,,,,2.12,2.82,3.53,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-155739337,osm-way-155739337,Gigawatt Map retained export,Observed footprint,building,Aligned Energy Data Center,,,,,,,AZ,,,33.659041,-112.111168,Published point,,Observed footprint,,,,,,,,,,19.23,25.64,32.05,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-156520409,osm-way-156520409,Gigawatt Map retained export,Observed footprint,building,Lakeside Technology Center,,,,,,,IL,,,41.853653,-87.618359,Published point,,Observed footprint,,,,,,,,,,4.84,6.46,8.07,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-157362579,osm-way-157362579,Gigawatt Map retained export,Observed footprint,building,Flexential Phoenix - Deer Valley,flexential,,flexential,,,,AZ,,,33.684674,-112.098357,Published point,,Observed footprint,,,,,,,,,,4.13,5.5,6.88,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
