Dataset,Geography Level,Geography,Metric,Value,Unit,Observation Date,Source,Source URL,Boundary
National facility totals,State,Washington,Total,135.0,facilities,2026-02-19,Pew Research Center analysis of Data Center Map,https://www.pewresearch.org/short-reads/2026/04/13/most-new-data-centers-in-the-us-are-coming-to-rural-areas/,Published top-15 state subset from the national facility analysis; not combined with project-development records.
Project development records,State,Alabama,Active Pipeline,4.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Alabama,Approved or Under Construction,1.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Alabama,Cancelled,0.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Alabama,Expanding,0.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Alabama,Operating,4.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Alabama,Proposed,3.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Alabama,Suspended,0.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Alabama,Total,8.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Alaska,Active Pipeline,0.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Alaska,Approved or Under Construction,0.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Alaska,Cancelled,0.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Alaska,Expanding,0.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Alaska,Operating,0.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Alaska,Proposed,0.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Alaska,Suspended,0.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
