Year,Month,Entity ID,Entity Name,Plant Producer Type,Plant Name,Plant State,Plant ID,Generator ID,Net Summer Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Pipeline Type,Technology Group,Date
2026,2.0,66561.0,Selkirk Solar LLC,IPP,NY Selkirk S Albany RD - Hemlock Hills S,NY,68037.0,18211,5.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-02-01
2026,2.0,65695.0,Seven Flags BESS LLC,IPP,Seven Flags BESS LLC,TX,66689.0,7FLAG,100.0,Batteries,MWH,BA,Addition,Battery storage,2026-02-01
2026,2.0,17650.0,Southern Power Co,IPP,Millers Branch Solar,TX,69101.0,MLB01,200.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-02-01
2026,2.0,18454.0,Tampa Electric Co,Electric Utility,Long Branch Solar,FL,68472.0,1,74.9,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-02-01
2026,2.0,67037.0,"Tierra Seca BESS, LLC",IPP,Tierra Seca,TX,68748.0,TS,100.0,Batteries,MWH,BA,Addition,Battery storage,2026-02-01
2026,2.0,66517.0,"Two Hearted Solar, LLC",IPP,Two Hearted Solar,NC,67969.0,PGR28,22.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-02-01
2026,2.0,20847.0,Wisconsin Electric Power Co,Electric Utility,"Perch Solar WI, LLC",WI,69503.0,20257,6.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-02-01
2026,3.0,64904.0,AES Clean Energy,IPP,Keydet Solar Center,VA,68418.0,KEYDT,120.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,58509.0,"Affordable Solar Silver City, LLC",IPP,XCEL-1 Community Solar,NM,69107.0,XCL-1,5.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,66540.0,"Apex NC Solar, LLC",IPP,Apex NC Solar,NC,67997.0,PGR28,28.9,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
2026,3.0,66387.0,"Babacomari Solar, LLC",IPP,Babacomari Solar,AZ,67797.0,BS,160.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-03-01
