Pipeline Type,Entity ID,Entity Name,Plant ID,Plant Name,Plant State,County,Balancing Authority Code,Sector,Generator ID,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Technology Group,Energy Source Code,Prime Mover Code,Expected Month,Expected Year,Status,Latitude,Longitude
Addition,67702,Ryan Storage LLC,69770.0,Ryan Storage,TX,Coryell,ERCO,IPP Non-CHP,BRS,50.0,50.0,50.0,Batteries,Battery storage,MWH,BA,2.0,2027.0,"(U) Under construction, less than or equal to 50 percent complete",31.53576,-97.79874
Addition,67743,"SV CSG Brownstown 1, LLC",69812.0,SV CSG Brownstown 1,IL,Fayette,MISO,IPP Non-CHP,BROWN,1.0,1.0,1.0,Solar Photovoltaic,Solar,SUN,PV,2.0,2027.0,"(U) Under construction, less than or equal to 50 percent complete",38.971573,-89.01849
Addition,67781,Hockley LLC,69902.0,Hockley,TX,Harris,ERCO,IPP Non-CHP,HOCKL,9.9,9.9,9.9,Batteries,Battery storage,MWH,BA,2.0,2027.0,"(V) Under construction, more than 50 percent complete",30.021964,-95.84826
Addition,67775,Roccasecca BESS LLC,69965.0,Roccasecca BESS LLC,NV,Clark,CISO,IPP Non-CHP,RS,126.5,126.5,126.5,Batteries,Battery storage,MWH,BA,2.0,2027.0,"(V) Under construction, more than 50 percent complete",35.83,-115.0128
Addition,65677,Dimension Energy LLC,70008.0,West Perry Planing Mill Road Solar LLC,PA,Snyder,PJM,IPP Non-CHP,WPERR,3.0,3.0,3.0,Solar Photovoltaic,Solar,SUN,PV,2.0,2027.0,"(U) Under construction, less than or equal to 50 percent complete",40.689203,-77.14223
Addition,67836,"SL Portland Community, LLC",70018.0,"SL Portland Community, LLC",NY,Chautauqua,NYIS,IPP Non-CHP,23216,3.5,3.5,3.5,Solar Photovoltaic,Solar,SUN,PV,2.0,2027.0,"(U) Under construction, less than or equal to 50 percent complete",42.383832,-79.4718
Addition,67837,"SL Portland Community 2, LLC",70019.0,"SL Portland Community 2, LLC",NY,Chautauqua,NYIS,IPP Non-CHP,23221,3.8,3.8,3.8,Solar Photovoltaic,Solar,SUN,PV,2.0,2027.0,"(U) Under construction, less than or equal to 50 percent complete",42.37773,-79.45972
Addition,67856,CVE US PA Bigler 436 LLC,70076.0,Bigler - PA 0436 (Flango 2),PA,Clearfield,PJM,IPP Non-CHP,436,3.0,3.0,3.0,Solar Photovoltaic,Solar,SUN,PV,2.0,2027.0,"(U) Under construction, less than or equal to 50 percent complete",40.80344,-78.42252
Addition,67897,"Clay Creek Energy, LLC",70115.0,Fort Lyon Solar,CO,Bent,WACM,IPP Non-CHP,GEN1,1.8,1.8,1.8,Solar Photovoltaic,Solar,SUN,PV,2.0,2027.0,(L) Regulatory approvals pending. Not under construction,38.081,-103.133
Addition,67897,"Clay Creek Energy, LLC",70116.0,La Junta Solar,CO,Otero,WACM,IPP Non-CHP,GEN1,4.8,4.8,4.8,Solar Photovoltaic,Solar,SUN,PV,2.0,2027.0,(L) Regulatory approvals pending. Not under construction,38.038,-103.5237
