Date,Series,Value,Series ID,Metric,Unit,Source
2020-02-01,Information,138.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-03-01,Information,121.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-04-01,Information,118.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-05-01,Information,93.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-06-01,Information,106.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-07-01,Information,79.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-08-01,Information,86.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-09-01,Information,110.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-10-01,Information,126.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-11-01,Information,109.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2020-12-01,Information,123.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-01-01,Information,170.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-02-01,Information,109.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-03-01,Information,107.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-04-01,Information,128.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-05-01,Information,151.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-06-01,Information,165.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-07-01,Information,216.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-08-01,Information,216.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-09-01,Information,201.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-10-01,Information,208.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-11-01,Information,216.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2021-12-01,Information,249.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-01-01,Information,238.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-02-01,Information,242.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-03-01,Information,262.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-04-01,Information,274.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-05-01,Information,249.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-06-01,Information,254.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-07-01,Information,231.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-08-01,Information,207.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-09-01,Information,216.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-10-01,Information,215.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-11-01,Information,223.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2022-12-01,Information,80.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-01-01,Information,101.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-02-01,Information,144.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-03-01,Information,145.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-04-01,Information,146.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-05-01,Information,167.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-06-01,Information,156.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-07-01,Information,148.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-08-01,Information,155.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-09-01,Information,97.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-10-01,Information,101.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-11-01,Information,150.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2023-12-01,Information,141.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-01-01,Information,160.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-02-01,Information,129.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-03-01,Information,144.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-04-01,Information,87.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-05-01,Information,120.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-06-01,Information,108.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-07-01,Information,105.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-08-01,Information,105.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-09-01,Information,114.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-10-01,Information,178.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-11-01,Information,119.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2024-12-01,Information,105.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-01-01,Information,101.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-02-01,Information,125.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-03-01,Information,115.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-04-01,Information,134.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
2025-05-01,Information,109.0,JTS510000000000000JOL,Job openings,thousand openings,BLS Job Openings and Labor Turnover Survey
