Date,Series,Metric,Value,Unit,Series ID,sector_name,measure_text,Source
2021-07-01,Manufacturing — Labor productivity (output per hour),Index,99.744,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2021-10-01,Manufacturing — Labor productivity (output per hour),Index,99.065,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2022-01-01,Manufacturing — Labor productivity (output per hour),Index,98.075,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2022-04-01,Manufacturing — Labor productivity (output per hour),Index,98.029,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2022-07-01,Manufacturing — Labor productivity (output per hour),Index,96.992,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2022-10-01,Manufacturing — Labor productivity (output per hour),Index,96.309,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2023-01-01,Manufacturing — Labor productivity (output per hour),Index,96.293,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2023-04-01,Manufacturing — Labor productivity (output per hour),Index,97.361,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2023-07-01,Manufacturing — Labor productivity (output per hour),Index,97.106,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2023-10-01,Manufacturing — Labor productivity (output per hour),Index,97.696,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2024-01-01,Manufacturing — Labor productivity (output per hour),Index,97.371,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2024-04-01,Manufacturing — Labor productivity (output per hour),Index,97.597,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2024-07-01,Manufacturing — Labor productivity (output per hour),Index,97.468,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2024-10-01,Manufacturing — Labor productivity (output per hour),Index,97.459,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2025-01-01,Manufacturing — Labor productivity (output per hour),Index,98.545,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2025-04-01,Manufacturing — Labor productivity (output per hour),Index,99.311,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2025-07-01,Manufacturing — Labor productivity (output per hour),Index,100.163,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
2025-10-01,Manufacturing — Labor productivity (output per hour),Index,99.278,index 2017=100,PRS30006093,Manufacturing,Labor productivity (output per hour),BLS Labor Productivity and Costs
