Date,Series,Value,Series ID,Metric,Unit,Source,Attribution boundary
2021-01-01,Labor share,100.601,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2021-04-01,Labor share,100.417,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2021-07-01,Labor share,100.748,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2021-10-01,Labor share,99.573,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2022-01-01,Labor share,99.12,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2022-04-01,Labor share,97.499,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2022-07-01,Labor share,98.166,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2022-10-01,Labor share,96.9,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2023-01-01,Labor share,96.555,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2023-04-01,Labor share,96.709,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2023-07-01,Labor share,96.251,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2023-10-01,Labor share,96.224,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2024-01-01,Labor share,96.882,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2024-04-01,Labor share,96.602,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2024-07-01,Labor share,96.657,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2024-10-01,Labor share,96.94,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2025-01-01,Labor share,97.871,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2025-04-01,Labor share,96.723,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2025-07-01,Labor share,95.999,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2025-10-01,Labor share,95.727,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2026-01-01,Labor share,94.843,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
2026-04-01,Labor share,93.547,PRS85006173,Index,Index 2017=100,BLS Labor Productivity and Costs,"Labor compensation as a share of current-dollar output; an index, not a percentage-point share."
