Date,Value,Series ID,Series,Metric,Unit,Source
2023-04-01,485.2,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2023-05-01,484.9,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2023-06-01,485.5,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2023-07-01,488.6,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2023-08-01,489.2,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2023-09-01,485.3,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2023-10-01,484.1,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2023-11-01,483.8,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2023-12-01,484.2,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2024-01-01,483.5,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2024-02-01,482.6,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2024-03-01,482.6,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2024-04-01,483.2,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2024-05-01,481.7,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2024-06-01,481.8,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2024-07-01,480.3,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2024-08-01,481.3,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2024-09-01,481.5,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2024-10-01,478.6,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2024-11-01,478.6,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2024-12-01,480.9,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2025-01-01,481.3,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2025-02-01,482.4,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2025-03-01,482.9,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2025-04-01,481.3,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2025-05-01,481.2,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2025-06-01,481.4,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2025-07-01,480.0,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2025-08-01,479.4,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2025-09-01,476.3,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2025-10-01,480.7,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2025-11-01,479.6,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2025-12-01,472.9,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2026-01-01,467.5,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2026-02-01,463.8,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2026-03-01,464.0,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2026-04-01,462.3,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2026-05-01,465.1,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2026-06-01,461.8,CES5051800001,Computing infrastructure,Employment,thousand jobs,BLS Current Employment Statistics
2020-01-01,216.2,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2020-02-01,214.5,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2020-03-01,214.1,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2020-04-01,200.1,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2020-05-01,211.9,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2020-06-01,213.1,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2020-07-01,212.5,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2020-08-01,215.7,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2020-09-01,214.9,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2020-10-01,217.2,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2020-11-01,218.4,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2020-12-01,218.6,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2021-01-01,217.2,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2021-02-01,216.9,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2021-03-01,220.3,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2021-04-01,220.6,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2021-05-01,222.7,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
