Entity ID,Entity Name,Plant ID,Plant Name,Plant State,County,Balancing Authority Code,Sector,Generator ID,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Technology Group,Energy Source Code,Prime Mover Code,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Status,Nameplate Energy Capacity (MWh),Latitude,Longitude
61487,Montevideo Solar LLC,61870.0,"Montevideo Solar LLC, CSG",MN,Yellow Medicine,MISO,IPP Non-CHP,MONTE,5.0,5.0,5.0,Solar Photovoltaic,Solar,SUN,PV,1.0,2019.0, , ,(OP) Operating,,44.899475,-95.69419
61060,Cypress Creek Renewables,61871.0,Sterling Solar (TX),TX,Hunt,ERCO,IPP Non-CHP,GEN1,10.0,10.0,10.0,Solar Photovoltaic,Solar,SUN,PV,11.0,2018.0, , ,(OP) Operating,,33.166173,-96.17262
61677,Sol Systems,61872.0,Lampwick,TX,Menard,ERCO,IPP Non-CHP,GEN1,7.5,7.5,7.5,Solar Photovoltaic,Solar,SUN,PV,11.0,2019.0, , ,(OP) Operating,,30.872228,-99.53726
61060,Cypress Creek Renewables,61873.0,Yellow Jacket,TX,Bosque,ERCO,IPP Non-CHP,GEN1,5.0,5.0,5.0,Solar Photovoltaic,Solar,SUN,PV,11.0,2018.0, , ,(OP) Operating,,31.933841,-97.65375
61060,Cypress Creek Renewables,61874.0,Eddy II,TX,McLennan,ERCO,IPP Non-CHP,GEN1,10.0,10.0,10.0,Solar Photovoltaic,Solar,SUN,PV,11.0,2018.0, , ,(OP) Operating,,31.291151,-97.26074
61060,Cypress Creek Renewables,61875.0,Cascade Solar (TX),TX,Wharton,ERCO,IPP Non-CHP,GEN1,10.0,10.0,10.0,Solar Photovoltaic,Solar,SUN,PV,4.0,2019.0, , ,(OP) Operating,,29.205355,-96.02338
22500,"Evergy Kansas Central, Inc",61876.0,"Persimmon Creek Wind Farm 1, LLC",OK,Woodward,SWPP,Electric Utility,PCWF1,198.6,198.6,198.6,Onshore Wind Turbine,Wind,WND,WT,9.0,2018.0, , ,(OP) Operating,,36.174278,-99.34916
61944,MN8 Energy LLC,61877.0,"Hanover Solar, LLC",NC,Jones,DUK,IPP Non-CHP,HAN01,4.9,5.0,4.8,Solar Photovoltaic,Solar,SUN,PV,4.0,2018.0, , ,(OP) Operating,,34.800947,-77.21377
63359,"REA Investments, LLC",61878.0,John A Logan College Solar,IL,Williamson,MISO,IPP Non-CHP,JALC,1.3,1.3,1.3,Solar Photovoltaic,Solar,SUN,PV,12.0,2019.0, , ,(OP) Operating,,37.750571,-89.0853
62627,Cardinal Renewables,61879.0,Bartow Solar Energy LLC,FL,Polk,FPC,IPP Non-CHP,PV,7.3,7.3,7.3,Solar Photovoltaic,Solar,SUN,PV,3.0,2018.0, , ,(OP) Operating,,27.925984,-81.8191
61060,Cypress Creek Renewables,61881.0,Morning View,NC,Randolph,CPLE,IPP Non-CHP,GEN1,2.0,2.0,2.0,Solar Photovoltaic,Solar,SUN,PV,12.0,2018.0, , ,(OP) Operating,,35.546315,-79.74284
61060,Cypress Creek Renewables,61882.0,Copperfield,NC,Montgomery,CPLE,IPP Non-CHP,GEN1,2.0,2.0,2.0,Solar Photovoltaic,Solar,SUN,PV,12.0,2018.0, , ,(OP) Operating,,35.340067,-79.99116
61060,Cypress Creek Renewables,61883.0,Hopewell Friends,NC,Randolph,CPLE,IPP Non-CHP,GEN1,1.3,1.3,1.3,Solar Photovoltaic,Solar,SUN,PV,12.0,2018.0, , ,(OP) Operating,,35.62845,-79.8727
60520,SoCore Energy LLC,61884.0,Kearney NPPD Solar Project,NE,Buffalo,SWPP,IPP Non-CHP,PV1,5.8,5.8,5.8,Solar Photovoltaic,Solar,SUN,PV,12.0,2017.0, , ,(OP) Operating,,40.721688,-99.0412
61060,Cypress Creek Renewables,61885.0,Staunton,IN,Clay,MISO,IPP Non-CHP,GEN1,4.0,4.0,4.0,Solar Photovoltaic,Solar,SUN,PV,12.0,2018.0, , ,(OP) Operating,,39.45746,-87.20824
61060,Cypress Creek Renewables,61886.0,Bar D,CO,Rio Blanco,WACM,IPP Non-CHP,GEN1,4.0,4.0,4.0,Solar Photovoltaic,Solar,SUN,PV,12.0,2018.0, , ,(OP) Operating,,39.923679,-108.4627
60146,Ameresco Federal Solutions,61887.0,Fort Bliss (DEA EPIC),TX,El Paso,EPE,IPP Non-CHP,DEPIC,2.0,2.0,2.0,Solar Photovoltaic,Solar,SUN,PV,7.0,2018.0, , ,(OP) Operating,,31.829986,-106.3729
60584,Onyx Asset Services Group,61888.0,Johnstown,NY,Fulton,NYIS,IPP Non-CHP,10049,2.0,2.0,2.0,Solar Photovoltaic,Solar,SUN,PV,4.0,2018.0, , ,(OP) Operating,,42.999179,-74.31479
61502,"Sholes Wind Energy Center, LLC",61889.0,Sholes Wind Energy Center,NE,Wayne,SWPP,IPP Non-CHP,WSN1,160.0,160.0,160.0,Onshore Wind Turbine,Wind,WND,WT,11.0,2019.0, , ,(OP) Operating,,42.3119,-97.3647
61505,NRG Chalk Point CT,61890.0,NRG Chalk Point CT,MD,Prince Georges,PJM,IPP Non-CHP,SGT1,94.0,80.2,80.2,Petroleum Liquids,Other thermal,DFO,GT,6.0,1990.0, , ,(OP) Operating,,38.5444,-76.6861
61506,"Stryker 22, L.L.C.",61891.0,"Stryker 22, L.L.C.",NJ,Warren,PJM,IPP Non-CHP,EDGRD,19.8,19.8,19.8,Batteries,Battery storage,MWH,BA,12.0,2018.0, , ,(OP) Operating,19.8,40.66538,-75.14447
61507,Plumsted 537 LLC,61892.0,Plumsted 537 LLC,NJ,Ocean,PJM,IPP Non-CHP,PLMST,19.8,19.8,19.8,Batteries,Battery storage,MWH,BA,2.0,2019.0, , ,(OP) Operating,19.8,40.1094,-74.49778
60025,Greenbacker Renewable Energy Corporation,61893.0,BNB Camden Solar,NJ,Camden,PJM,IPP Non-CHP,BNBHQ,2.2,2.1,1.3,Solar Photovoltaic,Solar,SUN,PV,12.0,2017.0, , ,(OP) Operating,,39.93903,-75.10802
60025,Greenbacker Renewable Energy Corporation,61893.0,BNB Camden Solar,NJ,Camden,PJM,IPP Non-CHP,BNBSO,1.5,1.4,0.9,Solar Photovoltaic,Solar,SUN,PV,12.0,2017.0, , ,(OP) Operating,,39.93903,-75.10802
61510,National Raisin,61894.0,National Raisin,CA,Fresno,CISO,Industrial Non-CHP,CR1,1.0,0.9,0.6,Solar Photovoltaic,Solar,SUN,PV,10.0,2015.0, , ,(OP) Operating,,36.624512,-119.6731
61510,National Raisin,61894.0,National Raisin,CA,Fresno,CISO,Industrial Non-CHP,CR2,1.0,0.8,0.4,Solar Photovoltaic,Solar,SUN,PV,6.0,2015.0, , ,(OP) Operating,,36.624512,-119.6731
61510,National Raisin,61894.0,National Raisin,CA,Fresno,CISO,Industrial Non-CHP,CR3,0.6,0.5,0.3,Solar Photovoltaic,Solar,SUN,PV,10.0,2015.0, , ,(OP) Operating,,36.624512,-119.6731
61510,National Raisin,61894.0,National Raisin,CA,Fresno,CISO,Industrial Non-CHP,CR4,0.3,0.3,0.1,Solar Photovoltaic,Solar,SUN,PV,6.0,2015.0, , ,(OP) Operating,,36.624512,-119.6731
61944,MN8 Energy LLC,61895.0,Toyota HQ Plan,TX,Collin,ERCO,IPP Non-CHP,TOYHQ,7.7,5.9,3.5,Solar Photovoltaic,Solar,SUN,PV,9.0,2017.0, , ,(OP) Operating,,33.084219,-96.84113
60281,"Altus Power America Management, LLC",61898.0,Solean Solar Project,NY,Cattaraugus,NYIS,IPP Non-CHP,SOLEA,4.0,4.0,4.0,Solar Photovoltaic,Solar,SUN,PV,4.0,2016.0, , ,(OP) Operating,,42.086926,-78.44821
61514,"Agilitas Energy, Inc.",61899.0,Lincoln Ave Solar Project,NY,Suffolk,NYIS,IPP Non-CHP,LINC,2.0,2.0,2.0,Solar Photovoltaic,Solar,SUN,PV,12.0,2018.0, , ,(OP) Operating,,40.78144,-73.08344
61514,"Agilitas Energy, Inc.",61900.0,Blydenburgh Solar Project,NY,Suffolk,NYIS,IPP Non-CHP,BLYD,1.5,1.5,1.5,Solar Photovoltaic,Solar,SUN,PV,12.0,2018.0, , ,(OP) Operating,,40.815331,-73.18241
61944,MN8 Energy LLC,61901.0,Redstone Arsenal Hybrid,AL,Madison,TVA,IPP Non-CHP,BA,1.0,1.0,1.0,Batteries,Battery storage,MWH,BA,12.0,2017.0, , ,(OP) Operating,2.0,34.610987,-86.61155
61944,MN8 Energy LLC,61901.0,Redstone Arsenal Hybrid,AL,Madison,TVA,IPP Non-CHP,REDST,10.0,7.2,4.2,Solar Photovoltaic,Solar,SUN,PV,12.0,2017.0, , ,(OP) Operating,,34.610987,-86.61155
61514,"Agilitas Energy, Inc.",61902.0,Holtsville Solar Project,NY,Suffolk,NYIS,IPP Non-CHP,HOLTS,1.2,1.2,1.2,Solar Photovoltaic,Solar,SUN,PV,12.0,2017.0, , ,(OP) Operating,,40.797667,-73.03398
60584,Onyx Asset Services Group,61903.0,Sharon Springs,NY,Schoharie,NYIS,IPP Non-CHP,10116,2.0,2.0,2.0,Solar Photovoltaic,Solar,SUN,PV,5.0,2018.0, , ,(OP) Operating,,42.775105,-74.56715
60584,Onyx Asset Services Group,61904.0,Amsterdam North,NY,Montgomery,NYIS,IPP Non-CHP,10044,2.0,2.0,2.0,Solar Photovoltaic,Solar,SUN,PV,4.0,2018.0, , ,(OP) Operating,,42.953622,-74.1198
60584,Onyx Asset Services Group,61905.0,Amsterdam South,NY,Montgomery,NYIS,IPP Non-CHP,10045,2.0,2.0,2.0,Solar Photovoltaic,Solar,SUN,PV,4.0,2018.0, , ,(OP) Operating,,42.948957,-74.12616
