Date,Geography,Sector,Sales MWh,Revenue Thousand Dollars,Customers,Price Cents per kWh,Data Status
2025-10-01,ND,Residential,335990.71,43077.21,400859.0,12.82,Preliminary
2025-10-01,NE,Residential,711404.37,93396.93,927824.0,13.13,Preliminary
2025-10-01,NH,Residential,345524.53,94212.66,659593.0,27.27,Preliminary
2025-10-01,NJ,Residential,1832889.5,413325.31,3800519.0,22.55,Preliminary
2025-10-01,NM,Residential,523570.44,78291.42,926175.0,14.95,Preliminary
2025-10-01,NV,Residential,898175.67,123639.38,1340493.0,13.77,Preliminary
2025-10-01,NY,Residential,3615113.8,974387.43,7463313.0,26.95,Preliminary
2025-10-01,OH,Residential,3334021.4,594966.8,5104648.0,17.85,Preliminary
2025-10-01,OK,Residential,1721310.8,248237.58,1909469.0,14.42,Preliminary
2025-10-01,OR,Residential,1393908.5,225193.29,1899418.0,16.16,Preliminary
2025-10-01,PA,Residential,3654885.2,749063.49,5625766.0,20.49,Preliminary
2025-10-01,RI,Residential,204791.63,63813.78,467140.0,31.16,Preliminary
2025-10-01,SC,Residential,2188710.6,342450.4,2637210.0,15.65,Preliminary
2025-10-01,SD,Residential,363135.25,51159.33,446093.0,14.09,Preliminary
2025-10-01,TN,Residential,3090233.2,403491.32,3124923.0,13.06,Preliminary
2025-10-01,TX,Residential,14076949.0,2266018.7,12914808.0,16.1,Preliminary
2025-10-01,UT,Residential,800074.6,109513.58,1268506.0,13.69,Preliminary
2025-10-01,VA,Residential,2833744.0,463526.13,3701796.0,16.36,Preliminary
2025-10-01,VT,Residential,152447.62,37776.38,312954.0,24.78,Preliminary
2025-10-01,WA,Residential,2688334.0,377902.78,3432102.0,14.06,Preliminary
2025-10-01,WI,Residential,1619153.8,297403.39,2880220.0,18.37,Preliminary
2025-10-01,WV,Residential,668245.09,108186.09,866906.0,16.19,Preliminary
2025-10-01,WY,Residential,194279.71,29360.32,290686.0,15.11,Preliminary
2025-09-01,AK,Residential,141630.32,38464.36,303443.0,27.16,Preliminary
2025-09-01,AL,Residential,2926701.8,480719.92,2435862.0,16.43,Preliminary
2025-09-01,AR,Residential,1654452.1,228148.92,1499839.0,13.79,Preliminary
2025-09-01,AZ,Residential,4168026.5,636353.37,3176466.0,15.27,Preliminary
2025-09-01,CA,Residential,9010752.4,2886762.2,14263678.0,32.04,Preliminary
