q_id,q_status,q_date,prop_date,ia_date,IA_phase_clean,county,state,region,project_name,utility,entity,developer,service,project_type,type_1,type_2,type_3,type_clean,Technology Group,mw_1,mw_2,mw_3,Generation MW,Storage MW,Queue MW,Queue Accounting,q_year,prop_year
73,active,2018-10-12 00:00:00,2020-06-30 00:00:00,,,Adams,WA,West,,Avista Utilities,Avista,,NRIS/ERIS,Generation,Solar,,,Solar,Solar,100.0,,,100.0,,100.0,Submitted components; hybrid-storage imputation excluded,2018.0,2020.0
80,active,2018-12-17 00:00:00,2025-09-30 00:00:00,,,Spokane,WA,West,,Avista Utilities,Avista,,NRIS/ERIS,Generation,Solar,Battery,,Solar+Battery,Solar,19.0,,,19.0,,19.0,Submitted components; hybrid-storage imputation excluded,2018.0,2025.0
81,active,2018-12-18 00:00:00,2020-06-30 00:00:00,,,Adams,WA,West,,Avista Utilities,Avista,,NRIS/ERIS,Generation,Solar,,,Solar,Solar,94.0,,,94.0,,94.0,Submitted components; hybrid-storage imputation excluded,2018.0,2020.0
82,active,2019-02-20 00:00:00,,,IA Executed,Meagher,MT,West,,Avista Utilities,Avista,,ERIS,Generation,Wind,,,Wind,Wind,600.0,,,600.0,,600.0,Submitted components; hybrid-storage imputation excluded,2019.0,
83,active,2019-03-27 00:00:00,,,IA Executed,Meagher,MT,West,,Avista Utilities,Avista,,ERIS,Generation,Wind,,,Wind,Wind,300.15,,,300.15,,300.15,Submitted components; hybrid-storage imputation excluded,2019.0,
84,active,2019-04-17 00:00:00,2024-12-31 00:00:00,,,Stevens,WA,West,,Avista Utilities,Avista,,NRIS,Generation,Solar,Battery,,Solar+Battery,Solar,5.0,,,5.0,,5.0,Submitted components; hybrid-storage imputation excluded,2019.0,2024.0
85,active,2019-04-17 00:00:00,2020-08-31 00:00:00,,,Adams,WA,West,,Avista Utilities,Avista,,NRIS/ERIS,Generation,Solar,,,Solar,Solar,5.0,,,5.0,,5.0,Submitted components; hybrid-storage imputation excluded,2019.0,2020.0
97,suspended,2019-06-24 00:00:00,2025-12-31 00:00:00,,Suspended,Nez Perce,ID,West,,Avista Utilities,Avista,,ERIS,Generation,Solar,Battery,,Solar+Battery,Solar,100.0,,,100.0,,100.0,Submitted components; hybrid-storage imputation excluded,2019.0,2025.0
99,active,2019-09-06 00:00:00,2021-12-31 00:00:00,,,Franklin,WA,West,,Avista Utilities,Avista,,NRIS,Generation,Solar,Battery,,Solar+Battery,Solar,200.0,,,200.0,,200.0,Submitted components; hybrid-storage imputation excluded,2019.0,2021.0
CS23-06,active,2023-04-14 00:00:00,2028-09-26 00:00:00,,IA Executed,Whitman,WA,West,,Avista Utilities,Avista,,NRIS/ERIS,Generation,Wind,,,Wind,Wind,220.5,,,220.5,,220.5,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
CS23-12,active,2023-05-01 00:00:00,2029-07-09 00:00:00,,IA Executed,Franklin,WA,West,,Avista Utilities,Avista,,NRIS/ERIS,Generation,Battery,,,Battery,Battery storage,199.0,,,,199.0,199.0,Submitted components; hybrid-storage imputation excluded,2023.0,2029.0
CS23-13,active,2023-05-01 00:00:00,2028-06-30 00:00:00,,IA Executed,Lincoln,WA,West,,Avista Utilities,Avista,,NRIS,Generation,Solar,,,Solar,Solar,40.0,,,40.0,,40.0,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
CS23-14,active,2023-04-28 00:00:00,2028-06-30 00:00:00,,IA Executed,Spokane,WA,West,,Avista Utilities,Avista,,NRIS/ERIS,Generation,Solar,,,Solar,Solar,40.0,,,40.0,,40.0,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
CS24-01,active,2024-03-26 00:00:00,2024-11-15 00:00:00,,IA Executed,Adams,WA,West,,Avista Utilities,Avista,,NRIS,Generation,Solar,,,Solar,Solar,0.999,,,0.999,,0.999,Submitted components; hybrid-storage imputation excluded,2024.0,2024.0
CS24-02,active,2024-04-18 00:00:00,2025-11-01 00:00:00,,IA Executed,Spokane,WA,West,,Avista Utilities,Avista,,NRIS,Generation,Battery,,,Battery,Battery storage,0.5,,,,0.5,0.5,Submitted components; hybrid-storage imputation excluded,2024.0,2025.0
CS24-07,active,2024-04-29 00:00:00,2026-11-09 00:00:00,,IA Executed,Adams,WA,West,,Avista Utilities,Avista,,,Generation,Solar,,,Solar,Solar,2.0,,,2.0,,2.0,Submitted components; hybrid-storage imputation excluded,2024.0,2026.0
CS24-14,active,2024-04-30 00:00:00,2028-06-30 00:00:00,,IA Executed,Spokane,WA,West,,Avista Utilities,Avista,,NRIS/ERIS,Generation,Solar,,,Solar,Solar,40.0,,,40.0,,40.0,Submitted components; hybrid-storage imputation excluded,2024.0,2028.0
CS24-15,active,2024-04-30 00:00:00,2029-12-15 00:00:00,,IA Executed,Lincoln,WA,West,,Avista Utilities,Avista,,NRIS/ERIS,Generation,Wind,Battery,,Wind+Battery,Wind,300.0,,,300.0,,300.0,Submitted components; hybrid-storage imputation excluded,2024.0,2029.0
CS25-03,active,2025-04-18 00:00:00,2030-01-01 00:00:00,,Cluster Study,Spokane,WA,West,,Avista Utilities,Avista,,NRIS/ERIS,Generation,Battery,,,Battery,Battery storage,100.0,,,,100.0,100.0,Submitted components; hybrid-storage imputation excluded,2025.0,2030.0
CS25-04,active,2025-04-16 00:00:00,2027-05-30 00:00:00,,Cluster Study,Kootenai,ID,West,,Avista Utilities,Avista,,NRIS/ERIS,Generation,Gas,,,Gas,Natural gas,101.5,,,101.5,,101.5,Submitted components; hybrid-storage imputation excluded,2025.0,2027.0
CS25-05,active,2025-04-16 00:00:00,2029-05-30 00:00:00,,Cluster Study,Kootenai,ID,West,,Avista Utilities,Avista,,NRIS/ERIS,Generation,Gas,,,Gas,Natural gas,101.5,,,101.5,,101.5,Submitted components; hybrid-storage imputation excluded,2025.0,2029.0
CS25-07,active,2025-04-30 00:00:00,2029-12-16 00:00:00,,Cluster Study,Whitman,WA,West,,Avista Utilities,Avista,,NRIS,Generation,Wind,,,Wind,Wind,199.0,,,199.0,,199.0,Submitted components; hybrid-storage imputation excluded,2025.0,2029.0
CS25-08,active,2025-04-30 00:00:00,2029-05-04 00:00:00,,Cluster Study,Spokane,WA,West,,Avista Utilities,Avista,,NRIS,Generation,Battery,,,Battery,Battery storage,250.0,,,,250.0,250.0,Submitted components; hybrid-storage imputation excluded,2025.0,2029.0
CS25-09,active,2025-04-29 00:00:00,2030-05-01 00:00:00,,Cluster Study,Adams,WA,West,,Avista Utilities,Avista,,NRIS/ERIS,Generation,Solar,Battery,,Solar+Battery,Solar,375.0,,,375.0,,375.0,Submitted components; hybrid-storage imputation excluded,2025.0,2030.0
CS25-11,active,2025-04-30 00:00:00,2029-12-01 00:00:00,,Cluster Study,Garfield,WA,West,,Avista Utilities,Avista,,NRIS/ERIS,Generation,Wind,,,Wind,Wind,300.0,,,300.0,,300.0,Submitted components; hybrid-storage imputation excluded,2025.0,2029.0
CS25-15,active,2025-04-30 00:00:00,2030-12-01 00:00:00,,Cluster Study,Spokane,WA,West,,Avista Utilities,Avista,,NRIS/ERIS,Generation,Wind,,,Wind,Wind,200.0,,,200.0,,200.0,Submitted components; hybrid-storage imputation excluded,2025.0,2030.0
CS25-17,active,2025-04-30 00:00:00,2030-12-01 00:00:00,,Cluster Study,Spokane,WA,West,,Avista Utilities,Avista,,NRIS/ERIS,Generation,Wind,,,Wind,Wind,200.0,,,200.0,,200.0,Submitted components; hybrid-storage imputation excluded,2025.0,2030.0
Q59,suspended,,,,Suspended,Adams,WA,West,,Avista Utilities,Avista,,NRIS,Generation,Solar,Battery,,Solar+Battery,Solar,60.0,,,60.0,,60.0,Submitted components; hybrid-storage imputation excluded,,
Q60,suspended,,,,Suspended,Asotin,WA,West,,Avista Utilities,Avista,,NRIS,Generation,Solar,Battery,,Solar+Battery,Solar,150.0,,,150.0,,150.0,Submitted components; hybrid-storage imputation excluded,,
Q63,active,,2028-03-01 00:00:00,,IA Executed,Kootenai,ID,West,,Avista Utilities,Avista,,NRIS,Generation,Hydro,,,Hydro,Hydro,26.0,,,26.0,,26.0,Submitted components; hybrid-storage imputation excluded,,2028.0
Q66,active,,2026-06-30 00:00:00,,IA Executed,Stevens,WA,West,,Avista Utilities,Avista,,NRIS,Generation,Other,,,Other,Other,71.0,,,71.0,,71.0,Submitted components; hybrid-storage imputation excluded,,2026.0
Q97,active,,,,Facility Study,Nez Perce,ID,West,,Avista Utilities,Avista,,NRIS,Generation,Solar,Battery,,Solar+Battery,Solar,100.0,,,100.0,,100.0,Submitted components; hybrid-storage imputation excluded,,
TCS-03,suspended,2018-08-27 00:00:00,,,Suspended,Adams,WA,West,,Avista Utilities,Avista,,ERIS,Generation,Solar,Battery,,Solar+Battery,Solar,80.0,,,80.0,,80.0,Submitted components; hybrid-storage imputation excluded,2018.0,
TCS-14,active,2021-01-07 00:00:00,2027-11-01 00:00:00,,Construction,Garfield,WA,West,,Avista Utilities,Avista,,NRIS,Generation,Wind,Battery,,Wind+Battery,Wind,375.0,,,375.0,,375.0,Submitted components; hybrid-storage imputation excluded,2021.0,2027.0
CLPT G16,active,2022-04-01 00:00:00,2025-12-31 00:00:00,,IA Executed,Platte,WY,West,,Black Hills Cheyenne Light Fuel and Power Transmission,CLPT,"NextEra Energy Resources Interconnection Holdings, LLC",NRIS/ERIS,Generation,Solar,Wind,Battery,Solar+Wind+Battery,Solar,300.0,,,300.0,,300.0,Submitted components; hybrid-storage imputation excluded,2022.0,2025.0
CLPT G17,active,2022-04-01 00:00:00,2025-12-31 00:00:00,,IA Executed,Laramie,WY,West,,Black Hills Cheyenne Light Fuel and Power Transmission,CLPT,"NextEra Energy Resources Interconnection Holdings, LLC",NRIS/ERIS,Generation,Solar,Wind,Battery,Solar+Wind+Battery,Solar,300.0,,,300.0,,300.0,Submitted components; hybrid-storage imputation excluded,2022.0,2025.0
CLPT G18,active,2022-06-24 00:00:00,2024-12-15 00:00:00,,IA Executed,Converse,WY,West,,Black Hills Cheyenne Light Fuel and Power Transmission,CLPT,"DUTC bn, LLC",NRIS/ERIS,Generation,Solar,,,Solar,Solar,255.0,,,255.0,,255.0,Submitted components; hybrid-storage imputation excluded,2022.0,2024.0
CLPT G20,active,2022-07-20 00:00:00,2025-12-31 00:00:00,,IA Executed,Laramie,WY,West,,Black Hills Cheyenne Light Fuel and Power Transmission,CLPT,,NRIS/ERIS,Generation,Solar,Battery,,Solar+Battery,Solar,365.0,,,365.0,,365.0,Submitted components; hybrid-storage imputation excluded,2022.0,2025.0
CLPT G21,active,2022-09-06 00:00:00,2025-12-31 00:00:00,,IA Executed,Laramie,WY,West,,Black Hills Cheyenne Light Fuel and Power Transmission,CLPT,,NRIS/ERIS,Generation,Solar,Battery,,Solar+Battery,Solar,400.0,,,400.0,,400.0,Submitted components; hybrid-storage imputation excluded,2022.0,2025.0
CLPT G22,active,2022-11-23 00:00:00,2024-06-01 00:00:00,,IA Executed,Laramie,WY,West,,Black Hills Cheyenne Light Fuel and Power Transmission,CLPT,"Black Hills Electric Generation, LLC",NRIS,Generation,Gas,,,Gas,Natural gas,115.0,,,115.0,,115.0,Submitted components; hybrid-storage imputation excluded,2022.0,2024.0
CLPT G23,active,2023-02-20 00:00:00,2026-12-01 00:00:00,,IA Executed,Laramie,WY,West,,Black Hills Cheyenne Light Fuel and Power Transmission,CLPT,,NRIS/ERIS,Generation,Wind,,,Wind,Wind,150.0,,,150.0,,150.0,Submitted components; hybrid-storage imputation excluded,2023.0,2026.0
CLPT G24,active,2023-02-20 00:00:00,2026-12-01 00:00:00,,IA Executed,Laramie,WY,West,,Black Hills Cheyenne Light Fuel and Power Transmission,CLPT,,NRIS/ERIS,Generation,Wind,,,Wind,Wind,200.0,,,200.0,,200.0,Submitted components; hybrid-storage imputation excluded,2023.0,2026.0
CLPT G29,active,2024-05-30 00:00:00,2027-12-31 00:00:00,,Cluster Study,Laramie,WY,West,,Black Hills Cheyenne Light Fuel and Power Transmission,CLPT,,NRIS,Generation,Solar,Wind,Battery,Solar+Wind+Battery,Solar,150.0,,,150.0,,150.0,Submitted components; hybrid-storage imputation excluded,2024.0,2027.0
CLPT G30,active,2024-05-30 00:00:00,2029-01-01 00:00:00,,Cluster Study,Laramie,WY,West,,Black Hills Cheyenne Light Fuel and Power Transmission,CLPT,"Black Hills Electric Generation, LLC",NRIS,Generation,Gas,,,Gas,Natural gas,115.0,,,115.0,,115.0,Submitted components; hybrid-storage imputation excluded,2024.0,2029.0
CLPT G31,active,2024-05-30 00:00:00,2029-01-01 00:00:00,,Cluster Study,Laramie,WY,West,,Black Hills Cheyenne Light Fuel and Power Transmission,CLPT,"Cheyenne Light, Fuel & Power",NRIS,Generation,Gas,,,Gas,Natural gas,115.0,,,115.0,,115.0,Submitted components; hybrid-storage imputation excluded,2024.0,2029.0
2011-03-01 00:00:00,active,2025-08-11 00:00:00,2028-01-01 00:00:00,,Cluster Study,Laramie,WY,West,,Black Hills Cheyenne Light Fuel and Power Transmission,CLPT,"Cheyenne Light, Fuel and Power Company",NRIS,Generation,Gas,,,Gas,Natural gas,115.0,,,115.0,,115.0,Submitted components; hybrid-storage imputation excluded,2025.0,2028.0
2012-03-01 00:00:00,active,2025-08-11 00:00:00,2028-01-01 00:00:00,,Cluster Study,Laramie,WY,West,,Black Hills Cheyenne Light Fuel and Power Transmission,CLPT,"Cheyenne Light, Fuel and Power Company",NRIS,Generation,Gas,,,Gas,Natural gas,115.0,,,115.0,,115.0,Submitted components; hybrid-storage imputation excluded,2025.0,2028.0
2002-03-01 00:00:00,active,2025-07-29 00:00:00,2027-12-31 00:00:00,,Cluster Study,Laramie,WY,West,,Black Hills Cheyenne Light Fuel and Power Transmission,CLPT,,ERIS,Generation,Gas,Battery,Other Storage,Gas+Battery+Other Storage,Battery storage,600.0,,,600.0,,600.0,Submitted components; hybrid-storage imputation excluded,2025.0,2027.0
2003-03-01 00:00:00,active,2025-07-30 00:00:00,2029-12-31 00:00:00,,Cluster Study,Platte,WY,West,,Black Hills Cheyenne Light Fuel and Power Transmission,CLPT,,NRIS/ERIS,Generation,Solar,Wind,Battery,Solar+Wind+Battery,Solar,200.0,,,200.0,,200.0,Submitted components; hybrid-storage imputation excluded,2025.0,2029.0
2004-03-01 00:00:00,active,2025-07-30 00:00:00,2029-12-31 00:00:00,,Cluster Study,Platte,WY,West,,Black Hills Cheyenne Light Fuel and Power Transmission,CLPT,,NRIS/ERIS,Generation,Solar,Wind,Battery,Solar+Wind+Battery,Solar,200.0,,,200.0,,200.0,Submitted components; hybrid-storage imputation excluded,2025.0,2029.0
2005-03-01 00:00:00,active,2025-07-30 00:00:00,2029-12-31 00:00:00,,Cluster Study,Goshen,WY,West,,Black Hills Cheyenne Light Fuel and Power Transmission,CLPT,,NRIS/ERIS,Generation,Solar,Wind,Battery,Solar+Wind+Battery,Solar,200.0,,,200.0,,200.0,Submitted components; hybrid-storage imputation excluded,2025.0,2029.0
2006-03-01 00:00:00,active,2025-07-31 00:00:00,2026-06-01 00:00:00,,Cluster Study,Laramie,WY,West,,Black Hills Cheyenne Light Fuel and Power Transmission,CLPT,"Cheyenne Light, Fuel and Power Company",NRIS,Generation,Gas,,,Gas,Natural gas,40.0,,,40.0,,40.0,Submitted components; hybrid-storage imputation excluded,2025.0,2026.0
2008-03-01 00:00:00,active,2025-08-01 00:00:00,2028-04-30 00:00:00,,Cluster Study,Laramie,WY,West,,Black Hills Cheyenne Light Fuel and Power Transmission,CLPT,,NRIS/ERIS,Generation,Battery,,,Battery,Battery storage,79.0,,,,79.0,79.0,Submitted components; hybrid-storage imputation excluded,2025.0,2028.0
2009-03-01 00:00:00,active,2025-08-01 00:00:00,2029-11-30 00:00:00,,Cluster Study,Laramie,WY,West,,Black Hills Cheyenne Light Fuel and Power Transmission,CLPT,,NRIS/ERIS,Generation,Wind,Battery,,Wind+Battery,Wind,198.0,,,198.0,,198.0,Submitted components; hybrid-storage imputation excluded,2025.0,2029.0
BHCT G19,active,2015-04-01 00:00:00,2019-11-01 00:00:00,,IA Pending,Pueblo,CO,West,,Black Hills Colorado Electric,BHCT,,NRIS,Generation,Solar,,,Solar,Solar,60.0,,,60.0,,60.0,Submitted components; hybrid-storage imputation excluded,2015.0,2019.0
BHCT G21,active,2017-01-27 00:00:00,2018-12-31 00:00:00,,IA Pending,Pueblo,CO,West,,Black Hills Colorado Electric,BHCT,,NRIS/ERIS,Generation,Solar,,,Solar,Solar,80.0,,,80.0,,80.0,Submitted components; hybrid-storage imputation excluded,2017.0,2018.0
BHCT G28,active,2020-02-27 00:00:00,2023-12-31 00:00:00,,IA Pending,Pueblo,CO,West,,Black Hills Colorado Electric,BHCT,,NRIS/ERIS,Generation,Solar,,,Solar,Solar,75.0,,,75.0,,75.0,Submitted components; hybrid-storage imputation excluded,2020.0,2023.0
BHCT G29,suspended,2020-08-28 00:00:00,2023-03-31 00:00:00,,Suspended,Pueblo,CO,West,,Black Hills Colorado Electric,BHCT,174 Power Global,NRIS,Generation,Solar,,,Solar,Solar,200.0,,,200.0,,200.0,Submitted components; hybrid-storage imputation excluded,2020.0,2023.0
BHCT G32,active,2022-04-22 00:00:00,2025-04-01 00:00:00,,IA Pending,Pueblo,CO,West,,Black Hills Colorado Electric,BHCT,,NRIS/ERIS,Generation,Solar,Battery,,Solar+Battery,Solar,100.0,,,100.0,,100.0,Submitted components; hybrid-storage imputation excluded,2022.0,2025.0
BHCT G33,active,2022-06-16 00:00:00,2025-12-31 00:00:00,,IA Pending,Pueblo,CO,West,,Black Hills Colorado Electric,BHCT,,NRIS/ERIS,Generation,Solar,Battery,,Solar+Battery,Solar,199.0,,,199.0,,199.0,Submitted components; hybrid-storage imputation excluded,2022.0,2025.0
BHCT G35,active,2022-08-09 00:00:00,2026-12-01 00:00:00,,In Progress (unknown study),Pueblo,CO,West,,Black Hills Colorado Electric,BHCT,,NRIS/ERIS,Generation,Solar,Battery,,Solar+Battery,Solar,150.0,,,150.0,,150.0,Submitted components; hybrid-storage imputation excluded,2022.0,2026.0
BHCT G49,active,2024-06-12 00:00:00,2026-12-31 00:00:00,,Cluster Study,Pueblo,CO,West,,Black Hills Colorado Electric,BHCT,,NRIS,Generation,Solar,,,Solar,Solar,200.0,,,200.0,,200.0,Submitted components; hybrid-storage imputation excluded,2024.0,2026.0
BHCT G50,active,2024-06-12 00:00:00,2026-03-01 00:00:00,,Cluster Study,Pueblo,CO,West,,Black Hills Colorado Electric,BHCT,"Black Hills Colorado Electric, LLC",NRIS,Generation,Battery,,,Battery,Battery storage,50.0,,,,50.0,50.0,Submitted components; hybrid-storage imputation excluded,2024.0,2026.0
BHCT G52,active,2024-06-14 00:00:00,2026-12-01 00:00:00,,Cluster Study,Pueblo,CO,West,,Black Hills Colorado Electric,BHCT,,NRIS,Generation,Solar,,,Solar,Solar,100.0,,,100.0,,100.0,Submitted components; hybrid-storage imputation excluded,2024.0,2026.0
BHBE G1,active,2001-02-06 00:00:00,2011-01-01 00:00:00,,IA Executed,Campbell,SD,West,,Black Hills Power,BHP,Basin Electric,NRIS,Generation,Coal,,,Coal,Coal,250.0,,,250.0,,250.0,Submitted components; hybrid-storage imputation excluded,2001.0,2011.0
BHBE G11,active,2011-09-26 00:00:00,2011-12-25 00:00:00,,IA Executed,Campbell,SD,West,,Black Hills Power,BHP,,NRIS,Generation,Coal,,,Coal,Coal,475.0,,,475.0,,475.0,Submitted components; hybrid-storage imputation excluded,2011.0,2011.0
BHBE G13,active,2017-07-05 00:00:00,2023-12-31 00:00:00,,IA Executed,Custer,NE,West,,Black Hills Power,BHP,,NRIS/ERIS,Generation,Wind,,,Wind,Wind,300.0,,,300.0,,300.0,Submitted components; hybrid-storage imputation excluded,2017.0,2023.0
BHBE G15,active,2021-05-11 00:00:00,2024-01-11 00:00:00,,IA Executed,Meade,SD,West,,Black Hills Power,BHP,Vedauwoo Holdings Black Hills 1 LLC,NRIS/ERIS,Generation,Solar,,,Solar,Solar,80.0,,,80.0,,80.0,Submitted components; hybrid-storage imputation excluded,2021.0,2024.0
BHBE G16,active,2021-12-14 00:00:00,2024-11-15 00:00:00,,IA Executed,Campbell,WY,West,,Black Hills Power,BHP,,NRIS/ERIS,Generation,Wind,,,Wind,Wind,290.0,,,290.0,,290.0,Submitted components; hybrid-storage imputation excluded,2021.0,2024.0
BHBE G17,active,2022-03-22 00:00:00,2026-12-01 00:00:00,,IA Executed,Campbell,WY,West,,Black Hills Power,BHP,,NRIS/ERIS,Generation,Wind,,,Wind,Wind,200.0,,,200.0,,200.0,Submitted components; hybrid-storage imputation excluded,2022.0,2026.0
BHBE G18,active,2022-03-22 00:00:00,2027-12-01 00:00:00,,IA Executed,Campbell,WY,West,,Black Hills Power,BHP,,NRIS/ERIS,Generation,Wind,,,Wind,Wind,100.0,,,100.0,,100.0,Submitted components; hybrid-storage imputation excluded,2022.0,2027.0
BHBE G19,active,2022-05-03 00:00:00,2024-12-15 00:00:00,,IA Executed,Campbell,SD,West,,Black Hills Power,BHP,,NRIS/ERIS,Generation,Solar,,,Solar,Solar,300.0,,,300.0,,300.0,Submitted components; hybrid-storage imputation excluded,2022.0,2024.0
BHBE G2,active,2001-02-27 00:00:00,2010-01-06 00:00:00,,IA Executed,Campbell,SD,West,,Black Hills Power,BHP,Black Hills Generation,NRIS,Generation,Coal,,,Coal,Coal,100.0,,,100.0,,100.0,Submitted components; hybrid-storage imputation excluded,2001.0,2010.0
BHBE G20,active,2022-07-25 00:00:00,2025-12-01 00:00:00,,IA Executed,Dawes,SD,West,,Black Hills Power,BHP,,NRIS/ERIS,Generation,Solar,,,Solar,Solar,250.0,,,250.0,,250.0,Submitted components; hybrid-storage imputation excluded,2022.0,2025.0
BHBE G21,active,2022-08-23 00:00:00,2025-11-30 00:00:00,,IA Executed,Campbell,SD,West,,Black Hills Power,BHP,,NRIS/ERIS,Generation,Wind,,,Wind,Wind,200.0,,,200.0,,200.0,Submitted components; hybrid-storage imputation excluded,2022.0,2025.0
BHBE G22,active,2022-10-05 00:00:00,2024-01-11 00:00:00,,IA Executed,Meade,SD,West,,Black Hills Power,BHP,,NRIS/ERIS,Generation,Solar,,,Solar,Solar,20.0,,,20.0,,20.0,Submitted components; hybrid-storage imputation excluded,2022.0,2024.0
BHBE G23,active,2022-11-08 00:00:00,2026-12-01 00:00:00,,IA Executed,Oglala Lakota,SD,West,,Black Hills Power,BHP,,NRIS/ERIS,Generation,Solar,,,Solar,Solar,110.0,,,110.0,,110.0,Submitted components; hybrid-storage imputation excluded,2022.0,2026.0
BHBE G25,active,2024-06-13 00:00:00,2026-06-06 00:00:00,,Cluster Study,Pennington,SD,West,,Black Hills Power,BHP,Black Hills Power Inc.,NRIS,Generation,Gas,,,Gas,Natural gas,115.0,,,115.0,,115.0,Submitted components; hybrid-storage imputation excluded,2024.0,2026.0
BHBE G3,active,2004-08-25 00:00:00,2011-01-01 00:00:00,,IA Executed,Campbell,SD,West,,Black Hills Power,BHP,Basin Electric,NRIS,Generation,Coal,,,Coal,Coal,40.0,,,40.0,,40.0,Submitted components; hybrid-storage imputation excluded,2004.0,2011.0
BHBE G4,active,2005-01-07 00:00:00,2011-01-01 00:00:00,,IA Executed,Campbell,SD,West,,Black Hills Power,BHP,Basin Electric,NRIS,Generation,Coal,,,Coal,Coal,300.0,,,300.0,,300.0,Submitted components; hybrid-storage imputation excluded,2005.0,2011.0
BHBE G5,active,2005-05-23 00:00:00,2011-01-01 00:00:00,,IA Executed,Campbell,SD,West,,Black Hills Power,BHP,Basin Electric,NRIS,Generation,Coal,,,Coal,Coal,100.0,,,100.0,,100.0,Submitted components; hybrid-storage imputation excluded,2005.0,2011.0
BHBE G7,active,2007-10-01 00:00:00,2010-09-01 00:00:00,,IA Executed,Campbell,SD,West,,Black Hills Power,BHP,Third Planet Wind,NRIS/ERIS,Generation,Wind,,,Wind,Wind,200.0,,,200.0,,200.0,Submitted components; hybrid-storage imputation excluded,2007.0,2010.0
G0294,active,2007-10-25 00:00:00,2011-12-31 00:00:00,,IA Executed,Columbia,WA,West,,,BPA,,NRIS,Generation,Wind,,,Wind,Wind,250.0,,,250.0,,250.0,Submitted components; hybrid-storage imputation excluded,2007.0,2011.0
G0295,active,2007-10-26 00:00:00,2011-12-31 00:00:00,,IA Executed,Columbia,WA,West,,,BPA,,NRIS,Generation,Wind,,,Wind,Wind,250.0,,,250.0,,250.0,Submitted components; hybrid-storage imputation excluded,2007.0,2011.0
G0344,active,2008-09-04 00:00:00,2024-04-30 00:00:00,,Facility Study,Gilliam,OR,West,,,BPA,,NRIS,Generation,Wind,,,Wind,Wind,488.0,,,488.0,,488.0,Submitted components; hybrid-storage imputation excluded,2008.0,2024.0
G0345,active,2008-09-16 00:00:00,2010-08-30 00:00:00,,Facility Study,Wasco,OR,West,,,BPA,,ERIS,Generation,Wind,,,Wind,Wind,201.0,,,201.0,,201.0,Submitted components; hybrid-storage imputation excluded,2008.0,2010.0
G0362,active,2009-04-03 00:00:00,2012-11-01 00:00:00,,Facility Study,Gilliam,OR,West,,,BPA,,NRIS,Generation,Wind,,,Wind,Wind,204.0,,,204.0,,204.0,Submitted components; hybrid-storage imputation excluded,2009.0,2012.0
G0363,active,2009-04-03 00:00:00,2012-11-01 00:00:00,,Facility Study,Gilliam,OR,West,,,BPA,,NRIS,Generation,Wind,,,Wind,Wind,204.0,,,204.0,,204.0,Submitted components; hybrid-storage imputation excluded,2009.0,2012.0
G0366,active,2009-05-19 00:00:00,2014-11-01 00:00:00,,Facility Study,Morrow,OR,West,,,BPA,,NRIS,Generation,Wind,,,Wind,Wind,302.0,,,302.0,,302.0,Submitted components; hybrid-storage imputation excluded,2009.0,2014.0
G0367,active,2009-06-01 00:00:00,2012-12-01 00:00:00,,Facility Study,Wasco,OR,West,,,BPA,,NRIS,Generation,Solar,,,Solar,Solar,202.0,,,202.0,,202.0,Submitted components; hybrid-storage imputation excluded,2009.0,2012.0
G0368,active,2009-06-01 00:00:00,2027-12-31 00:00:00,,Facility Study,Wasco,OR,West,,,BPA,,NRIS,Generation,Solar,,,Solar,Solar,101.0,,,101.0,,101.0,Submitted components; hybrid-storage imputation excluded,2009.0,2027.0
G0435,active,2010-08-28 00:00:00,2013-11-01 00:00:00,,Facility Study,Morrow,OR,West,,,BPA,,NRIS/ERIS,Generation,Wind,,,Wind,Wind,238.0,,,238.0,,238.0,Submitted components; hybrid-storage imputation excluded,2010.0,2013.0
G0490,active,2013-07-05 00:00:00,2022-01-02 00:00:00,,Facility Study,Douglas,WA,West,,,BPA,,ERIS,Generation,Hydro,,,Hydro,Hydro,345.0,,,345.0,,345.0,Submitted components; hybrid-storage imputation excluded,2013.0,2022.0
G0492,active,2013-08-02 00:00:00,2019-07-01 00:00:00,,Facility Study,Clearwater,ID,West,Dworshak Fourth Unit,BPA Power Services,BPA,,NRIS,Generation,Hydro,,,Hydro,Hydro,300.0,,,300.0,,300.0,Submitted components; hybrid-storage imputation excluded,2013.0,2019.0
G0501,active,2014-10-13 00:00:00,2018-07-01 00:00:00,,Facility Study,Klamath,OR,West,,,BPA,,NRIS/ERIS,Generation,Gas,,,Gas,Natural gas,1100.0,,,1100.0,,1100.0,Submitted components; hybrid-storage imputation excluded,2014.0,2018.0
G0505,active,2015-01-12 00:00:00,2017-01-01 00:00:00,,Facility Study,Lincoln,OR,West,,,BPA,,ERIS,Generation,Other,,,Other,Other,20.0,,,20.0,,20.0,Submitted components; hybrid-storage imputation excluded,2015.0,2017.0
G0513,active,2015-09-18 00:00:00,2016-12-31 00:00:00,,In Progress (unknown study),Morrow,OR,West,,,BPA,,ERIS,Generation,Solar,,,Solar,Solar,20.0,,,20.0,,20.0,Submitted components; hybrid-storage imputation excluded,2015.0,2016.0
