q_id,q_status,q_date,prop_date,ia_date,IA_phase_clean,county,state,region,project_name,utility,entity,developer,service,project_type,type_1,type_2,type_3,type_clean,Technology Group,mw_1,mw_2,mw_3,Generation MW,Storage MW,Queue MW,Queue Accounting,q_year,prop_year
Q225,active,2014-09-25 00:00:00,2021-12-22 00:00:00,,In Progress (unknown study),Maricopa,AZ,West,,Arizona Public Service,APS,,ERIS,Generation,Solar,Battery,,Solar+Battery,Solar,200.0,,,200.0,,200.0,Submitted components; hybrid-storage imputation excluded,2014.0,2021.0
26INR0045,active,2023-01-17 00:00:00,2026-12-31 00:00:00,,Facility Study,Bastrop,TX,ERCOT,LUND STORAGE CENTER 1,,ERCOT,"Lund Storage Center 1, LLC",,Generation,Battery,,,Battery,Battery storage,407.55,,,,407.55,407.55,Submitted components; hybrid-storage imputation excluded,2023.0,2026.0
26INR0049,active,2023-04-19 00:00:00,2026-05-01 00:00:00,2024-05-30 00:00:00,IA Executed,Freestone,TX,ERCOT,Pin Peaking Energy Center 1 (TEF- Due Diligence),,ERCOT,"PIN OAK CREEK ENERGY CENTER, LLC",,Generation,Gas,,,Gas,Natural gas,228.0,,,228.0,,228.0,Submitted components; hybrid-storage imputation excluded,2023.0,2026.0
26INR0055,suspended,,,,,Upton,TX,ERCOT,Point Mountain Storage,,ERCOT,,,Generation,Battery,,,Battery,Battery storage,507.2,,,,507.2,507.2,Submitted components; hybrid-storage imputation excluded,,
26INR0068,active,2023-01-30 00:00:00,2026-07-01 00:00:00,,Facility Study,Karnes,TX,ERCOT,Charro Creek Solar 1 SLF,,ERCOT,Charro Creek Solar LLC,,Generation,Solar,Battery,,Solar+Battery,Solar,203.0,,,203.0,,203.0,Submitted components; hybrid-storage imputation excluded,2023.0,2026.0
26INR0070,active,2023-03-08 00:00:00,2026-07-01 00:00:00,,Facility Study,Karnes,TX,ERCOT,Charro Creek Solar 2 SLF,,ERCOT,Charro Creek Solar LLC,,Generation,Solar,Battery,,Solar+Battery,Solar,203.0,,,203.0,,203.0,Submitted components; hybrid-storage imputation excluded,2023.0,2026.0
26INR0072,active,2023-03-08 00:00:00,2026-07-01 00:00:00,,Facility Study,Karnes,TX,ERCOT,Charro Creek Solar 3 SLF,,ERCOT,Charro Creek Solar LLC,,Generation,Solar,Battery,,Solar+Battery,Solar,203.0,,,203.0,,203.0,Submitted components; hybrid-storage imputation excluded,2023.0,2026.0
26INR0074,active,2023-01-30 00:00:00,2028-06-30 00:00:00,2025-03-06 00:00:00,IA Executed,Wilson,TX,ERCOT,Anila Solar,,ERCOT,Alina Energy LLC,,Generation,Solar,Battery,,Solar+Battery,Solar,200.8,,,200.8,,200.8,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
26INR0077,active,2023-02-20 00:00:00,2028-06-30 00:00:00,2025-03-06 00:00:00,IA Executed,Wilson,TX,ERCOT,Anila BESS,,ERCOT,Alina Energy LLC,,Generation,Battery,Battery,,Solar+Battery,Solar,209.0,,,,209.0,209.0,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
26INR0082,active,2023-05-15 00:00:00,2028-12-30 00:00:00,,Facility Study,Freestone,TX,ERCOT,Amerada Solar,,ERCOT,"Amerada Solar, LLC",,Generation,Solar,Battery,,Solar+Battery,Solar,301.57,,,301.57,,301.57,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
26INR0083,active,2023-01-30 00:00:00,2028-05-31 00:00:00,,Facility Study,Tom Green,TX,ERCOT,Zeppelin Energy Storage,,ERCOT,ZEPPELIN ENERGY STORAGE LLC,,Generation,Battery,,,Battery,Battery storage,163.93,,,,163.93,163.93,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
26INR0084,active,2023-05-15 00:00:00,2028-07-21 00:00:00,,Facility Study,Freestone,TX,ERCOT,Amerada Storage,,ERCOT,"Amerada Solar, LLC",,Generation,Battery,Battery,,Solar+Battery,Solar,150.78,,,,150.78,150.78,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
26INR0086,active,2024-05-20 00:00:00,2028-09-19 00:00:00,,Facility Study,Kaufman,TX,ERCOT,Solarville Solar SLF,,ERCOT,"Ville Solar, LLC",,Generation,Solar,Battery,,Solar+Battery,Solar,402.86,,,402.86,,402.86,Submitted components; hybrid-storage imputation excluded,2024.0,2028.0
26INR0088,active,2023-04-19 00:00:00,2027-07-01 00:00:00,2025-11-03 00:00:00,IA Executed,La Salle,TX,ERCOT,La Salle Solar,,ERCOT,La Salle Solar LLC,,Generation,Solar,,,Solar,Solar,512.6,,,512.6,,512.6,Submitted components; hybrid-storage imputation excluded,2023.0,2027.0
26INR0089,active,2023-04-07 00:00:00,2028-02-12 00:00:00,,Facility Study,La Salle,TX,ERCOT,Crescent C BESS,,ERCOT,OCI La Salle ESS LLC,,Generation,Battery,,,Battery,Battery storage,508.34,,,,508.34,508.34,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
26INR0098,active,2023-05-15 00:00:00,2028-04-18 00:00:00,,Facility Study,Freestone,TX,ERCOT,Douie Solar,,ERCOT,Buffalo Spring Solar LLC,,Generation,Solar,,,Solar,Solar,221.2,,,221.2,,221.2,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
26INR0100,suspended,,,,,Hidalgo,TX,ERCOT,Wishbone Storage (SLF),,ERCOT,,,Generation,Battery,,,Battery,Battery storage,90.0,,,,90.0,90.0,Submitted components; hybrid-storage imputation excluded,,
26INR0107,active,2023-06-28 00:00:00,2028-08-11 00:00:00,,Facility Study,Zapata,TX,ERCOT,Freedom Falcon BESS,,ERCOT,"Falcon BESS, LLC",,Generation,Battery,,,Battery,Battery storage,501.9,,,,501.9,501.9,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
26INR0109,active,2023-04-19 00:00:00,2026-05-01 00:00:00,2024-05-30 00:00:00,IA Executed,Freestone,TX,ERCOT,Pin Peaking Energy Center 2 (TEF- Due Diligence),,ERCOT,"PIN OAK CREEK ENERGY CENTER, LLC",,Generation,Gas,,,Gas,Natural gas,228.0,,,228.0,,228.0,Submitted components; hybrid-storage imputation excluded,2023.0,2026.0
26INR0110,active,2023-04-07 00:00:00,2028-11-01 00:00:00,,Facility Study,Crane,TX,ERCOT,Western Flats Solar,,ERCOT,Hecate Energy Point Mountain Solar Facility 1 LLC,,Generation,Solar,Battery,,Solar+Battery,Solar,410.2,,,410.2,,410.2,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
26INR0111,active,2024-01-11 00:00:00,2026-04-07 00:00:00,,Facility Study,Mclennan,TX,ERCOT,Graphic Packaging Gas,,ERCOT,Graphic Packaging International,,Generation,Gas,,,Gas,Natural gas,43.36,,,43.36,,43.36,Submitted components; hybrid-storage imputation excluded,2024.0,2026.0
26INR0112,active,2023-04-07 00:00:00,2028-07-01 00:00:00,,Facility Study,Knox,TX,ERCOT,Lemma Solar,,ERCOT,Greening USA Corp.,,Generation,Solar,,,Solar,Solar,100.61,,,100.61,,100.61,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
26INR0113,active,2023-07-18 00:00:00,2027-12-20 00:00:00,2024-04-19 00:00:00,IA Executed,Gray,TX,ERCOT,Meitner Wind,,ERCOT,"IP Meitner, LLC",,Generation,Wind,,,Wind,Wind,709.0,,,709.0,,709.0,Submitted components; hybrid-storage imputation excluded,2023.0,2027.0
26INR0114,active,2023-04-19 00:00:00,2027-06-03 00:00:00,,Facility Study,Waller,TX,ERCOT,Ochoa Energy Storage,,ERCOT,Ochoa Energy Storage LLC,,Generation,Battery,,,Battery,Battery storage,260.16,,,,260.16,260.16,Submitted components; hybrid-storage imputation excluded,2023.0,2027.0
26INR0116,active,2023-05-15 00:00:00,2028-03-11 00:00:00,,Facility Study,Zapata,TX,ERCOT,Falcon Zapata Storage 138,,ERCOT,"Falcon BESS, LLC",,Generation,Battery,,,Battery,Battery storage,200.79,,,,200.79,200.79,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
26INR0120,active,2023-09-08 00:00:00,2028-12-22 00:00:00,,Facility Study,Zavala,TX,ERCOT,Bramble Energy Center,,ERCOT,"Bramble Energy Center, LLC",,Generation,Battery,,,Battery,Battery storage,225.1,,,,225.1,225.1,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
26INR0121,active,2023-06-28 00:00:00,2028-07-01 00:00:00,,Facility Study,Midland,TX,ERCOT,Pioneer Hutt Solar (Alternative POI),,ERCOT,NextEra Energy Interconnection Holdings LLC,,Generation,Solar,,,Solar,Solar,116.0,,,116.0,,116.0,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
26INR0128,active,2023-05-26 00:00:00,2028-06-30 00:00:00,,Facility Study,Nueces,TX,ERCOT,SunWave Solar,,ERCOT,Buckeye Nueces Bay Solar LLC,,Generation,Solar,,,Solar,Solar,154.4,,,154.4,,154.4,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
26INR0130,active,2024-07-30 00:00:00,2027-09-30 00:00:00,,Facility Study,Navarro,TX,ERCOT,Elm Flats Solar SLF,,ERCOT,"Orca Falls Solar, LLC",,Generation,Solar,Battery,,Solar+Battery,Solar,125.58,,,125.58,,125.58,Submitted components; hybrid-storage imputation excluded,2024.0,2027.0
26INR0134,active,2023-06-28 00:00:00,2028-05-22 00:00:00,,Facility Study,Bee,TX,ERCOT,Myers Solar,,ERCOT,"BT Myers Solar, LLC",,Generation,Solar,Battery,,Solar+Battery,Solar,101.59,,,101.59,,101.59,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
26INR0135,active,2023-06-28 00:00:00,2028-05-22 00:00:00,,Facility Study,Bee,TX,ERCOT,Myers Storage,,ERCOT,"BT Myers Solar, LLC",,Generation,Battery,Battery,,Solar+Battery,Solar,75.96,,,,75.96,75.96,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
26INR0138,suspended,2023-08-13 00:00:00,2026-12-31 00:00:00,,,Montague,TX,ERCOT,Weathervane Solar SLF,,ERCOT,,,Generation,Solar,,,Solar,Solar,160.49,,,160.49,,160.49,Submitted components; hybrid-storage imputation excluded,2023.0,2026.0
26INR0139,suspended,2023-08-13 00:00:00,,,,Montague,TX,ERCOT,Weathervane Storage SLF,,ERCOT,,,Generation,Battery,,,Battery,Battery storage,32.47,,,,32.47,32.47,Submitted components; hybrid-storage imputation excluded,2023.0,
26INR0143,active,2023-06-28 00:00:00,2028-05-30 00:00:00,,Facility Study,Kleberg,TX,ERCOT,Santa Garcias Solar,,ERCOT,Oxy Renewable Energy LLC,,Generation,Solar,,,Solar,Solar,265.0,,,265.0,,265.0,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
26INR0144,active,2024-02-27 00:00:00,2027-09-30 00:00:00,,Facility Study,Wharton,TX,ERCOT,Wittig Solar,,ERCOT,Greenalia Solar Power Wittig LLC,,Generation,Solar,,,Solar,Solar,106.9,,,106.9,,106.9,Submitted components; hybrid-storage imputation excluded,2024.0,2027.0
26INR0146,active,2023-07-31 00:00:00,2028-12-15 00:00:00,,Facility Study,Haskell,TX,ERCOT,DMF Sagerton Solar SLF,,ERCOT,Double Mountain Fork LLC,,Generation,Solar,Battery,,Solar+Battery,Solar,125.5,,,125.5,,125.5,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
26INR0147,active,2023-09-22 00:00:00,2028-05-26 00:00:00,2025-08-28 00:00:00,IA Executed,Lampasas,TX,ERCOT,Seven Springs Solar,,ERCOT,"Hancock Springs, LLC",,Generation,Solar,Battery,,Solar+Battery,Solar,145.0,,,145.0,,145.0,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
26INR0150,active,2023-07-10 00:00:00,2028-06-30 00:00:00,,Facility Study,Schleicher,TX,ERCOT,Proving Ground Solar,,ERCOT,Lantana Solar LLC,,Generation,Solar,Battery,,Solar+Battery,Solar,82.1,,,82.1,,82.1,Submitted components; hybrid-storage imputation excluded,2023.0,2028.0
26INR0155,active,2023-07-31 00:00:00,2027-07-31 00:00:00,2024-06-27 00:00:00,IA Executed,Refugio,TX,ERCOT,Ross Solar,,ERCOT,"S&S Renewables, LLC",,Generation,Solar,Battery,,Solar+Battery,Solar,1025.57,,,1025.57,,1025.57,Submitted components; hybrid-storage imputation excluded,2023.0,2027.0
