IXP Name,Location,State,State Assignment,Physical Locations,Reported Members,Observation Date,Source,Source URL,Evidence Class,Evidence Grade,Boundary
PIT - LATAM Interconnect,Miami,FL,city_crosswalk,1,5,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Chameleon-NAP,Miami,FL,city_crosswalk,10,4,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
DACS-IX South Region,Orlando,FL,city_crosswalk,2,4,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Miami Internet Exchange - MiamiIX,"Miami, Florida",FL,source_location,3,4,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Digital Realty Atlanta Internet Exchange,Atlanta,GA,city_crosswalk,2,149,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Community IX - Atlanta - CIX-ATL,Atlanta,GA,city_crosswalk,11,117,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Equinix Internet Exchange Atlanta - Equinix Atlanta,Atlanta,GA,city_crosswalk,3,27,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
BGP.Exchange - Atlanta,Atlanta,GA,city_crosswalk,0,13,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Megaport MegaIX Atlanta,Atlanta,GA,city_crosswalk,13,10,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
DRFortress Exchange - DRF IX,Honolulu,HI,city_crosswalk,1,33,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Quad Cities Internet eXchange - QCIX,Davenport,IA,city_crosswalk,6,63,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
DesMoines Internet eXchange - DesMoinesIX,Des Moines,IA,city_crosswalk,2,8,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Idaho Internet Exchange - IdahoIX,Boise,ID,city_crosswalk,1,4,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Equinix Internet Exchange Chicago - Equinix Chicago,Chicago,IL,city_crosswalk,3,254,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
DE-CIX Chicago,Chicago,IL,city_crosswalk,11,80,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Chicago Internet Exchange - ChIX,Chicago,IL,city_crosswalk,5,62,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
BGP.Exchange - Chicago,Chicago,IL,city_crosswalk,0,17,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
CoreSite - Any2Chicago,Chicago,IL,city_crosswalk,2,16,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
MegaIX Chicago,Chicago,IL,city_crosswalk,16,13,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Chicago Open Pipes,Chicago,IL,city_crosswalk,5,7,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
DACS-IX Central Region,Chicago,IL,city_crosswalk,1,7,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Digital Realty Chicago,Chicago,IL,city_crosswalk,3,7,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
FD-IX - Chicago,Chicago,IL,city_crosswalk,5,4,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
BroadBand Internet eXchange Chicago - BBIX Chicago,Chicago,IL,city_crosswalk,1,3,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
MidWest-IX / FD-IX Indianapolis - FD-IX - Indianapolis,"Indianapolis, Indiana",IN,source_location,8,44,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Indianapolis Internet Exchange - IndyIX,Indianapolis,IN,source_location,1,13,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
BGP.Exchange - Kansas,Kansas,KS,city_crosswalk,0,48,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
MoeDove Internet Exchange Point - Pigeon IX,Kansas,KS,city_crosswalk,3,20,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Paducah Internet Exchange - PaducahIX,Paducah,KY,city_crosswalk,1,10,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
"MASS IX, Boston/Massachusetts Internet Exchange - MASS-IX",Boston,MA,city_crosswalk,7,71,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Boston Internet Exchange,"Boston, Massachusetts",MA,source_location,2,58,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Baltimore Internet Exchange - Baltimore IX,Baltimore,MD,city_crosswalk,2,3,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Northern New England Neutral Internet Exchange - NNENIX,Portland,ME,exchange_identity,3,10,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Detroit Internet Exchange - DET-iX,Detroit,MI,city_crosswalk,5,79,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Grand Rapids Internet Exchange - Grand Rapids Internet Exchange (GRR-iX),"Grand Rapids, MI",MI,source_location,1,13,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Central Michigan Internet Exchange - CM-IX,Mount Pleasant,MI,city_crosswalk,1,5,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Midwest Internet Cooperative Exchange - MICE,"Minneapolis, MN",MN,source_location,5,147,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Kansas City Internet Exchange - KCIX,Kansas City,MO,city_crosswalk,12,195,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
Saint Louis Internet Exchange - STLIX,"Saint Louis, MO",MO,source_location,4,83,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
F4 Internet Exchange - F4IX MCI,Kansas City,MO,city_crosswalk,1,57,2026-08-19,Internet Society Pulse / PeeringDB,https://pulse.internetsociety.org/en/ixp-tracker/country/US/,operator_self_reported_registry,B,Active IXPs listing at least 3 members; memberships are not unique networks.
