Geography,Use Category,Total Withdrawal Mgal/d,Fresh Groundwater Mgal/d,Saline Groundwater Mgal/d,Fresh Surface Water Mgal/d,Saline Surface Water Mgal/d,Component Sum Mgal/d,Residual Mgal/d
NM,livestock,32.019999999999996,29.77,0.0,2.2499999999999996,0.0,32.019999999999996,0.0
NM,aquaculture,24.12,18.67,,5.45,,,
NM,mining,146.21,39.35000000000001,89.41999999999999,17.44,0.0,146.20999999999998,2.842170943040401e-14
NM,thermoelectric_power,33.46,6.13,0.0,27.33,0.0,33.46,0.0
NV,public_supply,531.25,141.54999999999998,0.0,389.70000000000005,0.0,531.25,0.0
NV,domestic_self_supply,35.769999999999996,35.769999999999996,0.0,0.0,0.0,35.769999999999996,0.0
NV,industrial_self_supply,5.71,1.02,0.0,4.69,0.0,5.710000000000001,-8.881784197001252e-16
NV,irrigation,2066.1000000000004,972.22,0.0,1093.8799999999999,0.0,2066.1,4.547473508864641e-13
NV,livestock,4.9399999999999995,4.9399999999999995,0.0,0.0,0.0,4.9399999999999995,0.0
NV,aquaculture,34.04,11.63,0.0,22.409999999999997,0.0,34.04,0.0
NV,mining,206.75,187.34,11.28,8.13,0.0,206.75,0.0
NV,thermoelectric_power,79.66,7.04,70.93,1.69,0.0,79.66000000000001,-1.4210854715202004e-14
NY,public_supply,2424.65,614.1700000000002,0.0,1810.4800000000002,0.0,2424.6500000000005,-4.547473508864641e-13
NY,domestic_self_supply,187.47000000000003,187.47000000000003,0.0,0.0,0.0,187.47000000000003,0.0
NY,industrial_self_supply,320.28999999999996,29.35,0.0,282.51,8.43,320.29,-5.684341886080802e-14
NY,irrigation,53.52,17.840000000000003,0.0,35.68,0.0,53.52,0.0
NY,livestock,25.700000000000003,16.81,0.0,8.89,0.0,25.7,3.552713678800501e-15
NY,aquaculture,60.43000000000001,10.97,0.0,49.46,0.0,60.43,7.105427357601002e-15
NY,mining,41.2,5.639999999999999,0.95,34.61,0.0,41.199999999999996,7.105427357601002e-15
NY,thermoelectric_power,7684.7699999999995,7.3,0.0,2203.08,5474.389999999999,7684.7699999999995,0.0
OH,public_supply,1306.28,449.58000000000004,0.0,856.7,0.0,1306.2800000000002,-2.2737367544323206e-13
OH,domestic_self_supply,139.48,136.76,0.0,2.72,0.0,139.48,0.0
OH,industrial_self_supply,347.79,138.01,0.0,209.77999999999997,0.0,347.78999999999996,5.684341886080802e-14
OH,irrigation,54.95,17.880000000000003,0.0,37.07,0.0,54.95,0.0
OH,livestock,24.6,7.83,0.0,16.77,0.0,24.6,0.0
OH,aquaculture,39.339999999999996,13.32,,26.02,,,
OH,mining,128.93,91.32999999999998,0.0,37.6,0.0,128.92999999999998,2.842170943040401e-14
OH,thermoelectric_power,4483.42,10.99,0.0,4472.43,0.0,4483.42,0.0
OK,public_supply,611.24,102.10999999999999,0.0,509.13000000000005,0.0,611.24,0.0
OK,domestic_self_supply,30.33,30.33,0.0,0.0,0.0,30.33,0.0
OK,industrial_self_supply,51.99999999999999,7.2700000000000005,0.0,44.730000000000004,0.0,52.00000000000001,-1.4210854715202004e-14
OK,irrigation,931.0199999999999,787.1200000000001,0.0,143.9,0.0,931.0200000000001,-2.2737367544323206e-13
OK,livestock,70.64999999999999,27.35,0.0,43.300000000000004,0.0,70.65,-1.4210854715202004e-14
OK,aquaculture,3.29,0.060000000000000005,,3.2300000000000004,,,
OK,mining,192.14000000000004,4.22,154.70999999999998,33.21,0.0,192.14,5.684341886080802e-14
OK,thermoelectric_power,71.74,1.59,0.0,70.15,0.0,71.74000000000001,-1.4210854715202004e-14
OR,public_supply,567.04,146.98,0.0,420.06,0.0,567.04,0.0
OR,domestic_self_supply,73.89000000000001,66.35,0.0,7.54,0.0,73.89,1.4210854715202004e-14
OR,industrial_self_supply,104.74999999999999,3.4499999999999997,0.0,101.30000000000001,0.0,104.75000000000001,-2.842170943040401e-14
OR,irrigation,5157.53,1215.2999999999997,0.0,3942.2299999999996,0.0,5157.529999999999,9.094947017729282e-13
OR,livestock,16.27,3.02,0.0,13.25,0.0,16.27,0.0
OR,aquaculture,633.66,32.82,0.0,600.84,0.0,633.6600000000001,-1.1368683772161603e-13
OR,mining,11.299999999999999,8.45,0.0,2.8500000000000005,0.0,11.3,-1.7763568394002505e-15
OR,thermoelectric_power,11.36,1.5699999999999998,0.0,9.79,0.0,11.36,0.0
PA,public_supply,1391.7,227.4,0.0,1164.2999999999997,0.0,1391.6999999999998,2.2737367544323206e-13
PA,domestic_self_supply,208.26999999999998,208.26999999999998,0.0,0.0,0.0,208.26999999999998,0.0
PA,industrial_self_supply,644.6399999999999,45.93,0.0,598.71,0.0,644.64,-1.1368683772161603e-13
PA,irrigation,34.32,17.48,0.0,16.84,0.0,34.32,0.0
PA,livestock,39.48999999999999,36.31999999999999,0.0,3.17,0.0,39.489999999999995,-7.105427357601002e-15
PA,aquaculture,95.97,48.82,0.0,47.15,0.0,95.97,0.0
PA,mining,43.69999999999999,32.89,5.6,5.21,0.0,43.7,-1.4210854715202004e-14
PA,thermoelectric_power,3577.6,5.38,0.0,3572.22,0.0,3577.6,0.0
PR,public_supply,576.3500000000001,66.61999999999999,0.0,509.73,0.0,576.35,1.1368683772161603e-13
PR,domestic_self_supply,0.52,0.52,0.0,0.0,0.0,0.52,0.0
PR,industrial_self_supply,3.6699999999999995,3.6699999999999995,0.0,0.0,0.0,3.6699999999999995,0.0
PR,irrigation,75.67,41.57,0.0,34.099999999999994,0.0,75.66999999999999,1.4210854715202004e-14
PR,livestock,5.83,4.23,0.0,1.5999999999999999,0.0,5.83,0.0
PR,aquaculture,0.6300000000000001,0.0,,0.6300000000000001,,,
PR,mining,2.02,1.8400000000000003,0.0,0.18,0.0,2.0200000000000005,-4.440892098500626e-16
PR,thermoelectric_power,1705.76,1.8199999999999998,0.0,2.83,1701.1100000000001,1705.7600000000002,-2.2737367544323206e-13
RI,public_supply,97.46000000000001,13.760000000000002,0.0,83.7,0.0,97.46000000000001,0.0
RI,domestic_self_supply,6.57,6.57,0.0,0.0,0.0,6.57,0.0
RI,industrial_self_supply,2.08,0.54,0.0,1.5100000000000002,0.03,2.08,0.0
RI,irrigation,4.25,3.7800000000000002,0.0,0.47,0.0,4.25,0.0
RI,livestock,0.12,0.11,0.0,0.01,0.0,0.12,0.0
RI,aquaculture,6.81,6.72,0.0,0.09,0.0,6.81,0.0
RI,mining,2.92,1.1800000000000002,0.0,1.74,0.0,2.92,0.0
RI,thermoelectric_power,223.03,0.0,0.0,1.33,221.7,223.03,0.0
SC,public_supply,633.39,115.11,0.0,518.28,0.0,633.39,0.0
SC,domestic_self_supply,118.27000000000001,118.27000000000001,0.0,0.0,0.0,118.27000000000001,0.0
SC,industrial_self_supply,286.36,26.290000000000003,0.0,260.07,0.0,286.36,0.0
SC,irrigation,126.22,87.89,0.0,38.33,0.0,126.22,0.0
SC,livestock,9.87,4.36,0.0,5.510000000000001,0.0,9.870000000000001,-1.7763568394002505e-15
SC,aquaculture,6.6899999999999995,0.61,0.0,6.079999999999999,0.0,6.6899999999999995,0.0
SC,mining,10.070000000000002,8.280000000000001,0.0,1.7900000000000003,0.0,10.070000000000002,0.0
SC,thermoelectric_power,4981.14,4.5200000000000005,0.0,4976.62,0.0,4981.14,0.0
SD,public_supply,71.95,47.98,0.0,23.969999999999995,0.0,71.94999999999999,1.4210854715202004e-14
SD,domestic_self_supply,5.5600000000000005,5.5600000000000005,0.0,0.0,0.0,5.5600000000000005,0.0
SD,industrial_self_supply,24.439999999999998,18.4,0.0,6.039999999999999,0.0,24.439999999999998,0.0
SD,irrigation,210.67999999999998,139.48999999999998,0.0,71.19,0.0,210.67999999999998,0.0
SD,livestock,47.86,19.29,0.0,28.57,0.0,47.86,0.0
SD,aquaculture,28.46,3.57,,24.89,,,
SD,mining,8.649999999999999,3.59,0.0,5.06,0.0,8.649999999999999,0.0
SD,thermoelectric_power,2.39,0.0,0.0,2.39,0.0,2.39,0.0
TN,public_supply,849.69,255.87,0.0,593.8199999999999,0.0,849.6899999999999,1.1368683772161603e-13
TN,domestic_self_supply,42.83,42.83,0.0,0.0,0.0,42.83,0.0
TN,industrial_self_supply,733.63,51.57000000000001,0.0,682.06,0.0,733.63,0.0
TN,irrigation,63.84,36.43,0.0,27.409999999999997,0.0,63.839999999999996,7.105427357601002e-15
